,address,others,price
0,"Perthshire Rd, Boston, MA",3 bds · 2 ba · -- sqft,"$3,100/mo"
1,"Shepard St, Brighton, MA",3 bds · 2 ba · -- sqft,"$3,100/mo"
2,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
3,"Corey Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
4,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
5,"Lothian Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
6,"Commonwealth Ave, Brighton, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
7,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
8,"Commonwealth Ct, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
9,"Chiswick Rd, Brighton, MA",4 bds · 1.5 ba · -- sqft,"$3,200/mo"
10,"Chestnut Hill Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
11,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
12,"Sutherland Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
13,"Washington St, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,775/mo"
14,"4 Colliston Rd # 6, Brighton, MA",4 bds · 2 ba · -- sqft,"$3,800/mo"
15,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
16,"Corey Rd, Brighton, MA",2 bds · 1 ba · 900 sqft,"$2,400/mo"
17,"9 Shannon St # 2RK, Boston, MA",5 bds · 2 ba · -- sqft,"$4,500/mo"
18,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
19,"Commonwealth Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
20,"Chiswick Rd, Brighton, MA",4 bds · 1.5 ba · -- sqft,"$3,200/mo"
21,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
22,"Commonwealth Ct, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
23,"Corey Rd, Brighton, MA",2 bds · 1 ba · 900 sqft,"$2,400/mo"
24,"Priscilla Rd, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
25,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
26,"Commonwealth Ct, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
27,"Lothian Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
28,"Washington St, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,850/mo"
29,"Wilson Park, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
30,"Orkney Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,825/mo"
31,"Shepard St, Brighton, MA",3 bds · 2 ba · -- sqft,"$3,100/mo"
32,"Commonwealth Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,500/mo"
33,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
34,"89 Perthshire Rd, Boston, MA","3 bds · 2 ba · 99,999 sqft","$3,100/mo"
35,"Shepard St, Brighton, MA",3 bds · 1 ba · -- sqft,"$3,100/mo"
36,"Strathmore Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,700/mo"
37,"Commonwealth Ave, Boston, MA",4 bds · 2 ba · -- sqft,"$3,800/mo"
38,"Chestnut Hill Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
39,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
40,"Montcalm Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,500/mo"
41,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
42,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$1,925/mo"
43,"Commonwealth Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
44,"Commonwealth Ct, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
45,"Chiswick Rd, Brighton, MA",Studio · 1 ba · -- sqft,"$1,450/mo"
46,"Commonwealth Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,500/mo"
47,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
48,"Wilson Park, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
49,"Priscilla Rd, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
50,"Orkney Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$1,825/mo"
51,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
52,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,920/mo"
53,"1 Gould St # 2, Brighton, MA",3 bds · 1 ba · -- sqft,"$3,300/mo"
54,"26 Brackett St, Boston, MA","4 bds · 1 ba · 3,780 sqft","$2,800/mo"
55,"58 Bigelow St # 58, Boston, MA","2 bds · 1 ba · 1,300 sqft","$2,100/mo"
56,"20 Cummings Rd # 2, Brighton, MA",4 bds · 2 ba · -- sqft,"$4,200/mo"
57,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 645 sqft,"$2,150/mo"
58,"(undisclosed Address), Brighton, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
59,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · 735 sqft,"$1,900/mo"
60,"Sutherland Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
61,"Commonwealth Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
62,"Ransom Rd, Boston, MA",1 bd · 1 ba · 507 sqft,"$1,700/mo"
63,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
64,"Shepard St, Brighton, MA",3 bds · 2 ba · -- sqft,"$3,100/mo"
65,"Corey Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
66,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
67,"Lothian Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
68,"Commonwealth Ct, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
69,"Commonwealth Ave, Brighton, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
70,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
71,"Chiswick Rd, Brighton, MA",4 bds · 1.5 ba · -- sqft,"$3,200/mo"
72,"Chestnut Hill Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
73,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
74,"Sutherland Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
75,"Washington St, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,775/mo"
76,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
77,"Corey Rd, Brighton, MA",2 bds · 1 ba · 900 sqft,"$2,400/mo"
78,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
79,"Commonwealth Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
80,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
81,"Commonwealth Ct, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
82,"Corey Rd, Brighton, MA",2 bds · 1 ba · 900 sqft,"$2,400/mo"
83,"Commonwealth Ave, Brighton, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
84,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
85,"Commonwealth Ct, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
86,"Lothian Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
87,"Lothian Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,825/mo"
88,"Washington St, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,850/mo"
89,"Wilson Park, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
90,"Shepard St, Brighton, MA",3 bds · 2 ba · -- sqft,"$3,100/mo"
91,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
92,"Orkney Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,825/mo"
93,"250 Market St # J4, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,700/mo"
94,"Strathmore Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,700/mo"
95,"Chestnut Hill Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
96,"Shepard St, Brighton, MA",3 bds · 1 ba · -- sqft,"$3,100/mo"
97,"Commonwealth Ave, Boston, MA",4 bds · 2 ba · -- sqft,"$3,800/mo"
98,"Woodstock Ave, Brighton, MA",5 bds · 2 ba · -- sqft,"$4,200/mo"
99,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$1,925/mo"
100,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
101,"Orkney Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$1,925/mo"
102,"Commonwealth Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,500/mo"
103,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
104,"Wilson Park, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
105,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,920/mo"
106,"Priscilla Rd, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
107,"Orkney Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$1,825/mo"
108,"Orkney Rd, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
109,"12 Oakland St # 3HG, Boston, MA",3 bds · 1 ba · -- sqft,"$2,900/mo"
110,"Chiswick Rd, Brighton, MA",Studio · 1 ba · -- sqft,"$1,450/mo"
111,"Commonwealth Ct, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
112,"1604 Commonwealth Ave, Brighton, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
113,"32 Academy Hill Rd # BS, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,900/mo"
114,"28 Litchfield St # BS, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,700/mo"
115,"121 Sutherland Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
116,"48 Gardena St # SMN02, Brighton, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
117,"66 Montcalm Ave, Boston, MA","3 bds · 2 ba · 1,400 sqft","$3,000/mo"
118,"Ransom Rd, Boston, MA",2 bds · -- ba · -- sqft,"$2,400/mo"
119,"Chiswick Rd, Boston, MA",2 bds · -- ba · -- sqft,"$2,150/mo"
120,"Melvin Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
121,"Commonwealth Ave, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,425/mo"
122,"Chiswick Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,975/mo"
123,"25 Brackett St # 2, Brighton, MA","3 bds · 1 ba · 1,000 sqft","$2,550/mo"
124,"Ayr Rd, Brighton, MA",1 bd · 2 ba · -- sqft,"$1,160/mo"
125,"(undisclosed Address), Brighton, MA",1 bd · 2 ba · -- sqft,$880/mo
126,"Ayr Rd, Brighton, MA",1 bd · 2 ba · -- sqft,"$1,160/mo"
127,"Sutherland Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
128,"Beechcroft St, Brighton, MA",2 bds · 1 ba · -- sqft,"$1,875/mo"
129,"Commonwealth Ave, Brighton, MA",1 bd · 1 ba · 600 sqft,"$1,627/mo"
130,"Lake Shore Ct, Brighton, MA",2 bds · 1 ba · 850 sqft,"$2,150/mo"
131,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 650 sqft,"$1,850/mo"
132,"Champney St, Brighton, MA","4 bds · 2.5 ba · 1,600 sqft","$3,400/mo"
133,"(undisclosed Address), Boston, MA",2 bds · 1 ba · -- sqft,"$2,425/mo"
134,"Burton St, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
135,"(undisclosed Address), Boston, MA","2 bds · 2 ba · 1,007 sqft","$2,400/mo"
136,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$1,850/mo"
137,"19 Cresthill Rd APT NA-TA, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
138,"114 Nonantum St APT NA-TA, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,300/mo"
139,"Allston St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
140,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$2,100/mo"
141,"Kenrick St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
142,"Lake Shore Rd, Brighton, MA","3 bds · 2 ba · 1,200 sqft","$2,850/mo"
143,"Delaware Pl, Brighton, MA",3 bds · 2 ba · -- sqft,"$2,895/mo"
144,"95 Kilsyth Rd # B, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
145,"95 Kilsyth Rd APT 1, Boston, MA","3 bds · 2 ba · 1,300 sqft","$3,200/mo"
146,"Colborne Rd, Brighton, MA",1 bd · 1 ba · 600 sqft,"$1,775/mo"
147,"38 Ransom Rd APT 6, Boston, MA",1 bd · 1 ba · 507 sqft,"$1,700/mo"
148,"Corey Rd, Boston, MA",3 bds · 1 ba · -- sqft,"$3,200/mo"
149,"Falkland St, Boston, MA","5 bds · 2 ba · 2,200 sqft","$4,500/mo"
150,"Euston Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$1,995/mo"
151,"Bentley St, Boston, MA",3 bds · 1 ba · -- sqft,"$3,200/mo"
152,"38 William Jackson Ave # CMB, Brighton, MA",Studio · 1 ba · -- sqft,"$1,500/mo"
153,"20 South St # 1C, Brighton, MA",4 bds · 2 ba · -- sqft,"$4,000/mo"
154,"Fairbanks St, Boston, MA","5 bds · 1 ba · 3,160 sqft","$4,850/mo"
155,"Sutherland Rd, Brighton, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
156,"35 Antwerp St # 361, Brighton, MA",3 bds · 1 ba · -- sqft,"$2,700/mo"
157,"24 Bentley St FL TA2ND, Brighton, MA","4 bds · 2 ba · 1,400 sqft","$3,200/mo"
158,"South St, Brighton, MA",4 bds · 2 ba · -- sqft,"$4,000/mo"
159,"15 Euston Rd APT 12, Boston, MA",1 bd · 1 ba · 505 sqft,"$1,995/mo"
160,"19 Cresthill Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
161,"28-1 Sidlaw Rd # GNC, Brighton, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
162,"Corey Rd, Brighton, MA",2 bds · 1 ba · 690 sqft,"$2,100/mo"
163,"438 Washington St # 2, Brighton, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
164,"66 Montcalm Ave # 2, Brighton, MA","3 bds · 2 ba · 1,400 sqft","$3,000/mo"
