,address,others,price
0,"Corey St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
1,"Corey St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
2,"59 Manthorne Rd # 1, Boston, MA","2 bds · 1 ba · 1,100 sqft","$1,950/mo"
3,"52 Redlands Rd # 2, Boston, MA","2 bds · 1 ba · 1,180 sqft","$1,900/mo"
4,"194 Glenellen Rd # 194, Boston, MA","3 bds · 1.5 ba · 1,372 sqft","$2,450/mo"
5,"50 Spring St # 1, Boston, MA",1 bd · 1 ba · 725 sqft,"$1,600/mo"
6,"250 Spring St, West Roxbury, MA",2 bds · 1 ba · -- sqft,"$1,550/mo"
7,"83 Gardner St # B1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
8,"1475 Centre St # 3, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,275/mo"
9,"9 Grouse St # 9, Boston, MA","2 bds · 1.5 ba · 1,128 sqft","$2,200/mo"
10,"114 Edgemere Rd APT 4, Boston, MA",1 bd · 1 ba · 683 sqft,"$1,700/mo"
11,"125 Edgemere Rd APT 108, Boston, MA",1 bd · 1 ba · -- sqft,"$1,950/mo"
12,"154 Edgemere Rd APT 3, Boston, MA",Studio · 1 ba · -- sqft,"$1,525/mo"
13,"208 Baker St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
14,"130 Grove St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,100/mo"
15,"Sherman Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$2,310/mo"
16,"Sherman Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$2,360/mo"
17,"56 Broadlawn Park # 165, Boston, MA","2 bds · 2 ba · 1,164 sqft","$2,400/mo"
18,"Manthorne Rd, West Roxbury, MA","4 bds · 2 ba · 2,600 sqft","$3,600/mo"
19,"Baker St, Boston, MA","2 bds · 1 ba · 1,100 sqft","$2,200/mo"
20,"1441 Centre St # 1, Boston, MA","2 bds · 1 ba · 1,328 sqft","$1,950/mo"
21,"130 Edgemere Rd APT 5, Boston, MA",2 bds · 1 ba · -- sqft,"$1,995/mo"
22,"31 Sanborn Ave # 2, West Roxbury, MA","2 bds · 1 ba · 1,200 sqft","$2,000/mo"
23,"865 Lagrange St, West Roxbury, MA","2 bds · 2.5 ba · 1,437 sqft","$2,400/mo"
24,"5167 Washington St # 15, West Roxbury, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
25,"Washington St, West Roxbury, MA",2 bds · 1 ba · -- sqft,"$2,195/mo"
26,"Garnet Rd, Boston, MA","3 bds · 1 ba · 1,300 sqft","$3,300/mo"
27,"Grove St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,300/mo"
28,"43 Goethe St # 2, Boston, MA","4 bds · 2 ba · 2,300 sqft","$3,250/mo"
29,"118 Edgemere Rd APT 12, Boston, MA",1 bd · 1 ba · -- sqft,"$1,895/mo"
30,"146 Edgemere Rd APT 1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,010/mo"
31,"150 Edgemere Rd APT 1, Boston, MA",2 bds · 1 ba · -- sqft,"$1,995/mo"
32,"Willow St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
33,"416 Baker St # 2, Boston, MA","2 bds · 1 ba · 1,100 sqft","$2,100/mo"
34,"223 Spring St, Boston, MA","4 bds · 2 ba · 1,200 sqft","$2,600/mo"
