,address,others,price
0,"Strathmore Rd, Brookline, MA",4 bds · 2 ba · -- sqft,"$3,850/mo"
1,"1764 Beacon St # 3RK, Brookline, MA",2 bds · 2 ba · -- sqft,"$3,100/mo"
2,"23 Garrison Rd, Brookline, MA",3 bds · 2 ba · -- sqft,"$4,200/mo"
3,"23 Garrison Rd APT 1, Brookline, MA",3 bds · 2 ba · 500 sqft,"$4,200/mo"
4,"20 Kilsyth Rd # 2, Brookline, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
5,"Reservoir Ct, Brookline, MA","3 bds · 1 ba · 1,435 sqft","$3,200/mo"
6,"Pond Ave, Brookline, MA",1 bd · 1 ba · 870 sqft,"$2,400/mo"
7,"(undisclosed Address), Brookline, MA","3 bds · 2 ba · 1,100 sqft","$3,400/mo"
8,"(undisclosed Address), Brookline, MA",2 bds · 1 ba · 850 sqft,"$2,500/mo"
9,"Englewood Ave, Brookline, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
10,"Englewood Ave, Brookline, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
11,"Englewood Ave, Brookline, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
12,"University Rd, Brookline, MA","4 bds · 1 ba · 2,200 sqft","$3,750/mo"
13,"Strathmore Rd, Brookline, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
14,"University Rd, Brookline, MA",4 bds · 1 ba · -- sqft,"$3,750/mo"
15,"Strathmore Rd, Brookline, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
16,"Englewood Ave, Brookline, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
17,"University Rd, Brookline, MA",4 bds · 1 ba · -- sqft,"$3,750/mo"
18,"Gardner Rd, Brookline, MA",4 bds · 2 ba · -- sqft,"$4,000/mo"
19,"Englewood Ave, Brookline, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
20,"1749 Beacon St, Brookline, MA",1 bd · 1 ba · -- sqft,"$2,175/mo"
