,address,others,price
0,"661 Bennington St # 2, Boston, MA",2 bds · 2 ba · 950 sqft,"$2,350/mo"
1,"157 Chelsea St # 3, Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
2,"127 Princeton St # 1, Boston, MA","4 bds · 2 ba · 1,045 sqft","$3,200/mo"
3,"151 Leyden St APT 1, East Boston, MA",1 bd · 1 ba · 750 sqft,"$1,800/mo"
4,"41 Saint Edward Rd # 2, Boston, MA","4 bds · 1 ba · 1,200 sqft","$3,400/mo"
5,"Decatur St, Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,400/mo"
6,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
7,"112 White St, Boston, MA","3 bds · 1 ba · 4,536 sqft","$2,550/mo"
8,"Orient Ave, Boston, MA","4 bds · 1 ba · 1,300 sqft","$3,300/mo"
9,"Marginal St, Boston, MA",Studio · 1 ba · 556 sqft,"$2,085/mo"
10,"Sumner St, East Boston, MA",1 bd · 1 ba · -- sqft,"$2,600/mo"
11,"206 Princeton St # 3, Boston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
12,"104 Paris St # 1, Boston, MA",2 bds · 1 ba · 790 sqft,"$2,000/mo"
13,"Maverick St, East Boston, MA",1 bd · 1 ba · 900 sqft,"$1,850/mo"
14,"234 Lexington St # 1, Boston, MA",1 bd · 1 ba · 600 sqft,"$1,750/mo"
15,"178 Brooks St APT 1H, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
16,"142 Gove St APT 8H, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
17,"279 Webster St # 1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
18,"61 Webster St APT 4, Boston, MA",1 bd · 1 ba · -- sqft,"$2,150/mo"
19,"84 Webster St # 1, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,750/mo"
20,"230 Havre St # 1, Boston, MA",1 bd · 1 ba · 630 sqft,"$1,350/mo"
21,"101 Webster St # 2B, Boston, MA","4 bds · 2 ba · 1,000 sqft","$3,600/mo"
22,"101 Webster St # 3, Boston, MA","4 bds · 2 ba · 1,000 sqft","$3,600/mo"
23,"Orleans St, Boston, MA",5 bds · 2 ba · -- sqft,"$4,750/mo"
24,"520 Sumner St # 3, Boston, MA",2 bds · 1 ba · 819 sqft,"$2,500/mo"
25,"644 Bennington St # 1V, Boston, MA",3 bds · 1 ba · -- sqft,"$3,500/mo"
26,"9 Breed St # 3, Boston, MA",2 bds · 1 ba · 972 sqft,"$2,150/mo"
27,"26 Gladstone St # 3, Boston, MA","2 bds · 2 ba · 1,034 sqft","$2,300/mo"
28,"85 Gladstone St # 1ATV, Boston, MA",1 bd · 1 ba · -- sqft,"$1,250/mo"
29,"756 Saratoga St # 2B, Boston, MA",4 bds · 1 ba · -- sqft,"$3,000/mo"
30,"153 Chelsea St # 1, Boston, MA","3 bds · 1 ba · 2,047 sqft","$2,850/mo"
31,"316 Chelsea St # 1, Boston, MA",2 bds · 1 ba · 980 sqft,"$2,200/mo"
32,"Frankfort St, Boston, MA","3 bds · 1 ba · 1,100 sqft","$2,850/mo"
33,"Cottage St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,400/mo"
34,"100 Marginal St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,435/mo"
35,"2 Marginal St # 333, East Boston, MA",1 bd · 1 ba · -- sqft,"$2,725/mo"
36,"520 Sumner St, Boston, MA",2 bds · 1 ba · 748 sqft,"$2,500/mo"
37,"125 London St, Boston, MA",1 bd · 1 ba · 850 sqft,"$1,800/mo"
38,"73 Lubec St # 1R, Boston, MA","2 bds · 2.5 ba · 1,350 sqft","$2,750/mo"
39,"55 Eutaw St # SF, Boston, MA",4 bds · 3 ba · -- sqft,"$3,600/mo"
40,"32 Decatur St # 3, Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,400/mo"
41,"Chelsea St, Boston, MA","1 bd · 2 ba · 1,000 sqft","$1,775/mo"
42,"1 Emmet Pl # 1, Boston, MA","2 bds · 3 ba · 1,200 sqft","$2,800/mo"
43,"Saratoga St, East Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
44,"Saratoga St, East Boston, MA",5 bds · 2 ba · -- sqft,"$4,250/mo"
45,"Saratoga St, East Boston, MA",5 bds · 3 ba · -- sqft,"$4,300/mo"
46,"London St, East Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
47,"London St, East Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
48,"96 Chelsea St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,050/mo"
49,"Bennington St, Boston, MA","4 bds · 2 ba · 1,300 sqft","$3,100/mo"
50,"(undisclosed Address), Boston, MA",6 bds · 2 ba · -- sqft,"$4,750/mo"
51,"288 Chelsea St APT 1, Boston, MA","3 bds · 2 ba · 1,400 sqft","$3,200/mo"
52,"Orleans St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,900/mo"
53,"Saratoga St, Boston, MA",4 bds · 1 ba · -- sqft,"$3,600/mo"
54,"3 Brigham St # 1, Boston, MA",1 bd · 1 ba · 820 sqft,"$4,200/mo"
55,"33 Faywood Ave, Boston, MA","5 bds · 1 ba · 1,300 sqft","$2,650/mo"
56,"Saratoga St, Boston, MA","5 bds · 2 ba · 1,500 sqft","$4,000/mo"
57,"259 Paris St # 1, Boston, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
58,"Chelsea St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
59,"105 Chelsea St, 3 br / 1.0 ba, $2900",3 bds · 1 ba · 925 sqft,"$2,900+/mo"
60,"Chelsea St, Boston, MA",3 bds · 1 ba · 900 sqft,"$2,400/mo"
61,"150 Bennington St # C, Boston, MA","4 bds · 2 ba · 1,300 sqft","$3,100/mo"
62,"111 Falcon St # 1, Boston, MA","3 bds · 1 ba · 1,400 sqft","$2,700/mo"
63,"111 Falcon St, East Boston 02128, 3 BEDROOM","3 bds · 1 ba · 1,400 sqft","$2,700+/mo"
64,"Brigham St, Boston, MA","3 bds · 2 ba · 1,500 sqft","$3,900/mo"
65,"Webster St, Boston, MA",2 bds · 2 ba · -- sqft,"$2,800/mo"
66,"(undisclosed Address), Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,400/mo"
67,"207 Trenton St APT 3, Boston, MA",2 bds · 1 ba · 675 sqft,"$1,700/mo"
68,"40 Decatur St # 3, Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,400/mo"
69,"Boardman St, Boston, MA","2 bds · 1 ba · 1,100 sqft","$2,100/mo"
70,"Gladstone St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
71,"Marginal St, Boston, MA","2 bds · 1 ba · 1,100 sqft","$2,400/mo"
72,"Lubec St, East Boston, MA",1 bd · 1 ba · 800 sqft,"$1,500/mo"
73,"Lewis St, Boston, MA",1 bd · 1 ba · 642 sqft,"$2,540/mo"
74,"61 Leyden St # 2, Boston, MA",1 bd · 1 ba · 650 sqft,"$1,750/mo"
75,"51 Chelsea St APT 1A, Boston, MA",3 bds · 2 ba · -- sqft,"$3,300/mo"
76,"Cottage St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
77,"Lewis St, Boston, MA",1 bd · 1 ba · 756 sqft,"$2,655/mo"
78,"Lewis St, Boston, MA","2 bds · 2 ba · 1,232 sqft","$3,405/mo"
79,"Lewis St, Boston, MA","2 bds · 2 ba · 1,071 sqft","$3,210/mo"
80,"Everett Ct, Boston, MA",4 bds · 2 ba · -- sqft,"$3,200/mo"
81,"Maverick St, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,000/mo"
82,"284 Princeton St # 1Z, Boston, MA",2 bds · 1.5 ba · 864 sqft,"$2,400/mo"
83,"Lewis St, Boston, MA","2 bds · 2 ba · 1,089 sqft","$3,515/mo"
84,"Lewis St, Boston, MA","2 bds · 2 ba · 1,232 sqft","$3,730/mo"
85,"Lewis St, Boston, MA","2 bds · 2 ba · 1,051 sqft","$3,250/mo"
86,"Lewis St, Boston, MA",1 bd · 1 ba · 730 sqft,"$2,525/mo"
87,"Lewis St, Boston, MA",Studio · 1 ba · 556 sqft,"$2,220/mo"
88,"120 Gladstone St # 88, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
89,"Meridian St, Boston, MA",4 bds · 1 ba · -- sqft,"$2,400/mo"
90,"402 Saratoga St # COMMERCIAL, Boston, MA",Studio · 1 ba · 500 sqft,$995/mo
91,"69 Cottage St # 2, Boston, MA",1 bd · 1 ba · 510 sqft,"$1,950/mo"
92,"120 Gladstone St # B, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
93,"Paris St, Boston, MA","4 bds · 2 ba · 1,200 sqft","$3,500/mo"
94,"116 Webster St # 1, Boston, MA",3 bds · 1 ba · -- sqft,"$2,600/mo"
95,"Bayswater St, Boston, MA","2 bds · 1 ba · 1,265 sqft","$2,600/mo"
96,"Chelsea St, East Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
97,"Everett St, Boston, MA","4 bds · 1 ba · 2,976 sqft","$2,950/mo"
98,"Bennington St, Boston, MA","4 bds · 2 ba · 1,300 sqft","$3,100/mo"
99,"Brooks St, Boston, MA",2 bds · 1 ba · 800 sqft,"$2,400/mo"
100,"3 Brigham St, Boston, MA",1 bd · 1 ba · 820 sqft,"$2,850/mo"
101,"33 W Eagle St # 2, Boston, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
102,"436 Meridian St # 3, Boston, MA",3 bds · 1 ba · -- sqft,"$2,750/mo"
103,"26 Brooks St # 3, Boston, MA",1 bd · 1 ba · 550 sqft,"$1,700/mo"
104,"Saint Andrew Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$1,500/mo"
105,"Leyden St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
106,"98 Orient Ave # 2, Boston, MA","3 bds · 1 ba · 2,200 sqft","$3,000/mo"
107,"Bennington St, Boston, MA","4 bds · 2 ba · 1,300 sqft","$3,100/mo"
108,"Saratoga St, East Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
109,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 700 sqft,"$1,500/mo"
110,"59 Lubec St APT 2, East Boston, MA",1 bd · 1 ba · 700 sqft,"$1,500/mo"
111,"Lexington St, Boston, MA",4 bds · 1 ba · -- sqft,"$2,800/mo"
112,"Lexington St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,450/mo"
113,"111 Chelsea St, Boston, MA",3 bds · 1 ba · 925 sqft,"$2,595/mo"
114,"Chelsea St, Boston, MA","4 bds · 2 ba · 1,218 sqft","$3,600/mo"
115,"Paris St, Boston, MA","4 bds · 2 ba · 1,200 sqft","$3,700/mo"
116,"Bennington St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,300/mo"
117,"72 Frankfort St # BB, Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,000/mo"
118,"208 Maverick St # 2FF, Boston, MA",1 bd · 1 ba · -- sqft,"$1,650/mo"
119,"Brooks St, Boston, MA",2 bds · -- ba · 750 sqft,"$2,400/mo"
120,"364 Meridian St # 2, Boston, MA","2 bds · 2 ba · 1,272 sqft","$2,950/mo"
121,"Frankfort St, Boston, MA",2 bds · 1 ba · 800 sqft,"$2,100/mo"
122,"300 Maverick St # 3, Boston, MA","3 bds · 1 ba · 1,100 sqft","$2,750/mo"
123,"300 Maverick St # 2, Boston, MA","3 bds · 1 ba · 1,100 sqft","$2,900/mo"
124,"235 Everett St # 04PH, Boston, MA",5 bds · 2 ba · -- sqft,"$4,250/mo"
125,"72 Frankfort St # B, East Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,000/mo"
126,"42 Jeffries St # 2, Boston, MA",1 bd · 1 ba · -- sqft,"$1,850/mo"
127,"58 Brandywyne Dr # 117, Boston, MA",1 bd · 1 ba · -- sqft,"$1,925/mo"
128,"Orient Ave, Boston, MA","4 bds · 1 ba · 1,300 sqft","$3,300/mo"
129,"285 Princeton St # 1, Boston, MA",2 bds · 1.5 ba · 852 sqft,"$2,400/mo"
130,"150 Princeton St # 7, Boston, MA",1 bd · 1 ba · 693 sqft,"$2,750/mo"
131,"1 Orient Ave # 3, Boston, MA","4 bds · 1 ba · 1,500 sqft","$3,300/mo"
132,"147 Cottage St # 2, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,400/mo"
133,"Chelsea St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,595/mo"
134,"15 Wordsworth St # 3, Boston, MA",3 bds · 1 ba · -- sqft,"$2,550/mo"
135,"New St, Boston, MA",Studio · 1 ba · 390 sqft,"$2,450/mo"
136,"New St, Boston, MA",1 bd · 1 ba · 496 sqft,"$3,100/mo"
137,"273 Princeton St # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,500/mo"
138,"117 Orleans St APT 4K, East Boston, MA","2 bds · 1 ba · 1,100 sqft","$2,000/mo"
139,"154 Marion St, Boston, MA",2 bds · 1 ba · 550 sqft,"$2,050/mo"
140,"53 Saint Andrew Rd # 3, Boston, MA",2 bds · 1.5 ba · 900 sqft,"$1,800/mo"
141,"306 Meridian St APT 10, Boston, MA",2 bds · 1.5 ba · 944 sqft,"$2,400/mo"
142,"Gladstone St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,700/mo"
143,"Condor St, Boston, MA",3 bds · 2 ba · -- sqft,"$2,400/mo"
144,"Saratoga St, Boston, MA",3 bds · 1 ba · 750 sqft,"$2,100/mo"
145,"32 Princeton St # 3, East Boston, MA",2 bds · 1 ba · 760 sqft,"$1,785/mo"
146,"139 Paris St APT 2, Boston, MA",1 bd · 1 ba · 650 sqft,"$1,795/mo"
147,"Gladstone St, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,000/mo"
148,"Saratoga St, Boston, MA",2 bds · 2 ba · -- sqft,"$2,500/mo"
149,"156 Cottage St APT 1, Boston, MA",1 bd · 1 ba · 467 sqft,"$1,450/mo"
150,"Princeton St, Boston, MA",Studio · 1 ba · 250 sqft,"$1,250/mo"
151,"Chelsea St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,600/mo"
152,"18 Leverett Ave # 7B, Boston, MA",2 bds · 1.5 ba · 948 sqft,"$2,200/mo"
153,"132 Princeton St # A1, East Boston, MA",Studio · 1 ba · -- sqft,"$1,250/mo"
154,"20 Chelsea St # B1, East Boston, MA",Studio · 1 ba · 850 sqft,"$1,450/mo"
155,"164 Cottage St APT 5, Boston, MA",2 bds · 1 ba · 750 sqft,"$1,700/mo"
156,"Maverick St, Boston, MA",4 bds · 1 ba · 700 sqft,"$3,000/mo"
157,"Princeton St, East Boston, MA",Studio · 1 ba · -- sqft,"$1,250/mo"
158,"118 Bremen St APT 3, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
159,"117 Orleans St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
160,"379 Meridian St # 101, Boston, MA",2 bds · 1 ba · 740 sqft,"$1,600/mo"
161,"57 Havre St # 3, Boston, MA","2 bds · 1 ba · 1,200 sqft","$2,400/mo"
162,"Chelsea St, Boston, MA",2 bds · 1 ba · 971 sqft,"$2,100/mo"
163,"Chelsea St, Boston, MA",2 bds · 1 ba · 925 sqft,"$2,350/mo"
164,"907 Saratoga St # 3A, Boston, MA","4 bds · 1 ba · 1,200 sqft","$2,800/mo"
165,"White St, Boston, MA","3 bds · 1 ba · 1,500 sqft","$2,550/mo"
166,"Maverick St, Boston, MA",3 bds · 1 ba · 950 sqft,"$2,525/mo"
167,"Princeton St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,000/mo"
168,"28 Chelsea St APT 2, Boston, MA",3 bds · 1 ba · 850 sqft,"$2,500/mo"
169,"Maverick St, Boston, MA",2 bds · 2 ba · 900 sqft,"$2,650/mo"
170,"447 Bennington St # 1L, Boston, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
171,"1088 Saratoga St # 3L, East Boston, MA",4 bds · 1 ba · -- sqft,"$2,950/mo"
172,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
173,"102 Barnes Ave # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,200/mo"
174,"178 Putnam St # 88, Boston, MA",2 bds · 1 ba · 850 sqft,"$2,700/mo"
175,"Princeton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
176,"Chelsea St, Boston, MA",2 bds · 1 ba · 900 sqft,"$1,800/mo"
177,"183 London St, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,300/mo"
178,"38 Frankfort St # 1D, East Boston, MA",3 bds · 1 ba · -- sqft,"$2,850/mo"
179,"169 Princeton St # 3, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,495/mo"
180,"214 Saratoga St, Boston, MA",4 bds · 1 ba · 910 sqft,"$3,100/mo"
181,"263 Everett St, Boston, MA","1 bd · 1 ba · 1,400 sqft","$1,700/mo"
182,"326 Meridian St # 2, Boston, MA","2 bds · 2 ba · 1,200 sqft","$2,600/mo"
183,"Leyden St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
184,"Chelsea St, Boston, MA",3 bds · -- ba · 925 sqft,"$2,350/mo"
185,"Decatur St, Boston, MA",2 bds · 1 ba · 800 sqft,"$2,600/mo"
186,"Princeton St, Boston, MA","3 bds · 1 ba · 1,002 sqft","$2,500/mo"
187,"Webster St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
188,"54 Eutaw St # H, Boston, MA",4 bds · 3 ba · -- sqft,"$3,600/mo"
189,"London St, East Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
190,"21 Eutaw St # 2, Boston, MA",1 bd · 1 ba · 559 sqft,"$1,800/mo"
191,"21 Eutaw St # 3, Boston, MA",2 bds · 1 ba · 565 sqft,"$1,900/mo"
192,"Eutaw St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,600/mo"
193,"Webster St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,800/mo"
194,"365 Sumner St # 3, East Boston, MA",1 bd · 1 ba · 600 sqft,"$1,750/mo"
195,"305 Chelsea St # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,800/mo"
196,"167 Chelsea St # 2, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
197,"289 Chelsea St # 1, East Boston, MA",1 bd · 1 ba · 750 sqft,"$1,625/mo"
198,"Bennington St, Boston, MA",3 bds · -- ba · -- sqft,"$2,400/mo"
199,"Bennington St, Boston, MA",3 bds · -- ba · -- sqft,"$2,300/mo"
200,"Chelsea St, Boston, MA",3 bds · -- ba · 925 sqft,"$2,350/mo"
201,"Falcon St, Boston, MA",3 bds · -- ba · 900 sqft,"$2,750/mo"
202,"358 Meridian St # 3, Boston, MA","5 bds · 1 ba · 1,400 sqft","$4,000/mo"
203,"Gladstone St, Boston, MA",4 bds · 1 ba · -- sqft,"$3,000/mo"
204,"Gove St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,650/mo"
205,"Bennington St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
206,"Boardman St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
207,"London St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
208,"Orleans St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,995/mo"
209,"229 London St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,300/mo"
210,"Trenton St, East Boston, MA",1 bd · 1 ba · -- sqft,"$1,600/mo"
211,"242 Everett St # 2A, Boston, MA",4 bds · 2 ba · -- sqft,"$3,200/mo"
212,"136 Gladstone St # 2, Boston, MA","4 bds · 2 ba · 1,600 sqft","$3,500/mo"
213,"(undisclosed Address), Boston, MA",2 bds · 1 ba · -- sqft,"$2,050/mo"
214,"Cottage St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
215,"Condor St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
216,"Falcon St, Boston, MA",3 bds · 1 ba · 900 sqft,"$2,750/mo"
217,"Chelsea St, Boston, MA",3 bds · 1 ba · 925 sqft,"$2,900/mo"
218,"Saratoga St, Boston, MA","4 bds · 1 ba · 1,704 sqft","$3,100/mo"
219,"Saratoga St, Boston, MA","2 bds · 1 ba · 1,300 sqft","$1,800/mo"
220,"32 Decatur St, Boston, MA",2 bds · 2 ba · -- sqft,"$2,400/mo"
221,"286 Sumner St # 2, Boston, MA","4 bds · 1 ba · 1,000 sqft","$3,000/mo"
222,"78 Cottage St # 2, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,695/mo"
223,"Saratoga St, Boston, MA","3 bds · 1 ba · 1,250 sqft","$2,800/mo"
224,"5 Murray Ct # 4, Boston, MA",1 bd · 1 ba · 680 sqft,"$1,400/mo"
225,"61 Trenton St # 3, Boston, MA",4 bds · 1 ba · -- sqft,"$3,750/mo"
226,"120 Everett St # 2, Boston, MA","4 bds · 1 ba · 1,624 sqft","$2,950/mo"
227,"Prescott St, Boston, MA",4 bds · 1 ba · -- sqft,"$2,950/mo"
228,"(undisclosed Address), Boston, MA",4 bds · 1 ba · -- sqft,"$3,200/mo"
229,"647 Bennington St, Boston, MA","3 bds · 2 ba · 3,648 sqft","$3,200/mo"
230,"Boardman St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,100/mo"
231,"Gove St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
232,"New St, Boston, MA",1 bd · 1 ba · 563 sqft,"$2,595/mo"
233,"233 Chelsea St # 3, Boston, MA",2 bds · 1 ba · 971 sqft,"$2,100/mo"
234,"Falcon St, Boston, MA",3 bds · 1 ba · 900 sqft,"$2,700/mo"
235,"46 Paris St # 5987609, Boston, MA",3 bds · 1 ba · 775 sqft,"$3,300/mo"
236,"Everett St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,200/mo"
