,address,others,price
0,"19 Wall St # 1, Boston, MA","3 bds · 2 ba · 1,433 sqft","$4,000/mo"
1,"150 Bunker Hill St APT 2A, Charlestown, MA",1 bd · 1 ba · 625 sqft,"$1,650/mo"
2,"94 High St # 1, Boston, MA",2 bds · 1 ba · 719 sqft,"$2,800/mo"
3,"15 Lexington St, Boston, MA",1 bd · 1 ba · 750 sqft,"$2,100/mo"
4,"104 Bartlett St, Boston, MA","3 bds · 2 ba · 1,800 sqft","$3,900/mo"
5,"Bunker Hill St, Boston, MA","3 bds · 3 ba · 1,871 sqft","$7,000/mo"
6,"48 Mystic St # 3, Boston, MA",1 bd · 1 ba · 564 sqft,"$2,750/mo"
7,"48 Green St # 3H, Boston, MA",4 bds · 1 ba · -- sqft,"$3,450/mo"
8,"20 Caldwell St, Boston, MA",4 bds · 3 ba · 720 sqft,"$5,000/mo"
9,"21 Oak St # 2, Boston, MA","2 bds · 2 ba · 1,400 sqft","$3,200/mo"
10,"21 Oak St # 2, Boston, MA","2 bds · 2 ba · 1,400 sqft","$3,200/mo"
11,"16 Cedar St, Boston, MA","2 bds · 1.5 ba · 1,400 sqft","$3,350/mo"
12,"197 8th St APT 301, Boston, MA","2 bds · 2 ba · 1,400 sqft","$5,500/mo"
13,"49 1st Ave, Charlestown, MA",2 bds · 1 ba · 600 sqft,"$3,250/mo"
14,"13 Monument Sq APT 4, Boston, MA",2 bds · 2 ba · 892 sqft,"$2,800/mo"
15,"44 8th St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,600/mo"
16,"Bunker Hill St, Charlestown, MA",1 bd · 1 ba · -- sqft,"$1,650/mo"
17,"8th St, Charlestown, MA",Studio · 1 ba · -- sqft,"$2,300/mo"
18,"22 Allston St # 2, Boston, MA","2 bds · 2 ba · 1,200 sqft","$3,900/mo"
19,"73 Pearl St # 2, Boston, MA","3 bds · 2 ba · 1,111 sqft","$3,000/mo"
20,"21 Oak St # B, Charlestown, MA","2 bds · 2 ba · 1,600 sqft","$3,200/mo"
21,"382 Bunker Hill St # 303, Boston, MA","3 bds · 3 ba · 1,871 sqft","$7,000/mo"
22,"96 Elm St # 3, Charlestown, MA",2 bds · 1 ba · 725 sqft,"$2,500/mo"
23,"42 8th St APT 1306, Boston, MA",2 bds · 2 ba · 909 sqft,"$3,400/mo"
24,"59 Elm St, Boston, MA","2 bds · 2 ba · 1,200 sqft","$4,000/mo"
25,"23 Monument Ave # A, Charlestown, MA",Studio · 1 ba · 650 sqft,"$1,800/mo"
26,"53 N Mead St # 8, Charlestown, MA",2 bds · 1 ba · -- sqft,"$2,850/mo"
