,address,others,price
0,"Harrishof St, Boston, MA","4 bds · 1 ba · 1,000 sqft","$2,400/mo"
1,"111 Harrishof St # 2, Boston, MA","4 bds · 1 ba · 1,000 sqft","$2,400/mo"
2,"Otisfield St, Dorchester, MA","1 bd · 1 ba · 1,000 sqft","$1,900/mo"
3,"36 Gleason St # 1, Boston, MA","3 bds · 2 ba · 1,200 sqft","$2,450/mo"
4,"9 Gleason St # 3, Boston, MA",2 bds · 1 ba · -- sqft,"$1,650/mo"
5,"137 Harold St # 1, Boston, MA","4 bds · 1.5 ba · 1,300 sqft","$2,400/mo"
6,"47 Crawford St # 3, Boston, MA","2 bds · 1 ba · 1,100 sqft","$1,800/mo"
7,"369 Blue Hill Ave # 1, Dorchester, MA","4 bds · 3 ba · 1,200 sqft","$2,700/mo"
8,"151 Stanwood St, Boston, MA","3 bds · 1 ba · 4,100 sqft","$2,600/mo"
9,"69 Mclellan St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
10,"114 Harrishof St, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,650/mo"
11,"Ellington St, Boston, MA",1 bd · -- ba · -- sqft,$600/mo
12,"114 Harrishof St # 3, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,650/mo"
13,"45 Fowler St # 0001, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
14,"94 Hutchings St APT 6, Boston, MA",2 bds · 1 ba · 800 sqft,"$1,900/mo"
15,"9 Abbotsford St # 3, Boston, MA","3 bds · 1 ba · 1,014 sqft","$2,200/mo"
16,"385 Blue Hill Ave # 2, Boston, MA","3 bds · 1 ba · 99,999 sqft","$2,000/mo"
17,"34 Seaver St, Dorchester, MA","4 bds · 1 ba · 1,000 sqft","$2,500/mo"
18,"100 Harrishof St # 1, Dorchester, MA","3 bds · 1 ba · 1,100 sqft","$2,400/mo"
19,"40 Holborn St APT 5, Boston, MA","3 bds · 1.5 ba · 1,300 sqft","$2,300/mo"
20,"122 Elm Hill Ave, Boston, MA","2 bds · 2 ba · 1,465 sqft","$2,100/mo"
21,"Holworthy St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,000/mo"
22,"24 Fernboro St # 3, Boston, MA","4 bds · 1 ba · 1,520 sqft","$2,300/mo"
23,"114 Harrishof St # 3, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,650/mo"
24,"45 Fowler St # 0001, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
25,"94 Hutchings St APT 6, Boston, MA",2 bds · 1 ba · 800 sqft,"$1,900/mo"
26,"9 Abbotsford St # 3, Boston, MA","3 bds · 1 ba · 1,014 sqft","$2,200/mo"
27,"385 Blue Hill Ave # 2, Boston, MA","3 bds · 1 ba · 99,999 sqft","$2,000/mo"
28,"34 Seaver St, Dorchester, MA","4 bds · 1 ba · 1,000 sqft","$2,500/mo"
29,"100 Harrishof St # 1, Dorchester, MA","3 bds · 1 ba · 1,100 sqft","$2,400/mo"
30,"40 Holborn St APT 5, Boston, MA","3 bds · 1.5 ba · 1,300 sqft","$2,300/mo"
31,"122 Elm Hill Ave, Boston, MA","2 bds · 2 ba · 1,465 sqft","$2,100/mo"
32,"Holworthy St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,000/mo"
33,"24 Fernboro St # 3, Boston, MA","4 bds · 1 ba · 1,520 sqft","$2,300/mo"
