,address,others,price
0,"500 Atlantic Ave UNIT 16A, Boston, MA","2 bds · 2 ba · 1,580 sqft","$8,000/mo"
1,"318 A St # 315, Boston, MA",Studio · 1 ba · 464 sqft,"$2,265/mo"
2,"Stillings St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,975/mo"
3,"77 Seaport Blvd, Boston, MA",1 bd · 1 ba · -- sqft,"$3,238/mo"
4,"152 Northern Ave, Boston, MA","2 bds · 2 ba · 1,222 sqft","$5,801/mo"
5,"Stillings St, Boston, MA",Studio · 1 ba · -- sqft,"$2,204/mo"
6,"Seaport Blvd, Boston, MA",Studio · 1 ba · 410 sqft,"$2,512/mo"
7,"90 Seaport Blvd # 5, Boston, MA",1 bd · 1 ba · -- sqft,"$3,100/mo"
8,"57 Seaport Blvd, Boston, MA",Studio · 1 ba · 450 sqft,"$2,370/mo"
9,"346-354 Congress St # 315, Boston, MA","2 bds · 2 ba · 1,382 sqft","$5,000/mo"
10,"Seaport Blvd, Boston, MA",1 bd · 1 ba · 537 sqft,"$3,195/mo"
11,"Seaport Blvd, Boston, MA",1 bd · 1 ba · 768 sqft,"$4,275/mo"
12,"Northern Ave, Boston, MA","2 bds · 2 ba · 1,194 sqft","$6,025/mo"
13,"Seaport Blvd, Boston, MA","2 bds · 2 ba · 1,222 sqft","$6,125/mo"
14,"9 Fan Pier Blvd # 1309, Boston, MA",Studio · 1 ba · 500 sqft,"$2,500/mo"
15,"Congress St, Boston, MA","3 bds · 2 ba · 1,349 sqft","$5,095/mo"
16,"Congress St, Boston, MA","2 bds · 2 ba · 1,058 sqft","$4,500/mo"
17,"Congress St, Boston, MA","2 bds · 2 ba · 1,058 sqft","$4,195/mo"
18,"500 Atlantic Ave UNIT 16N, Boston, MA","3 bds · 4.5 ba · 2,519 sqft","$13,995/mo"
19,"Fan Pier Blvd, Boston, MA",1 bd · 1 ba · 722 sqft,"$3,168/mo"
20,"Fan Pier Blvd, Boston, MA",Studio · 1 ba · 547 sqft,"$2,692/mo"
21,"Fan Pier Blvd, Boston, MA",1 bd · 1 ba · 670 sqft,"$3,018/mo"
22,"Northern Ave, Boston, MA",1 bd · 1 ba · 906 sqft,"$4,725/mo"
23,"Congress St, Boston, MA",1 bd · 1 ba · 715 sqft,"$3,495/mo"
24,"Congress St, Boston, MA",1 bd · 1 ba · 718 sqft,"$2,975/mo"
25,"Congress St, Boston, MA",1 bd · 1 ba · 598 sqft,"$2,750/mo"
26,"Congress St, Boston, MA","2 bds · 2 ba · 1,058 sqft","$3,800/mo"
27,"Fan Pier Blvd, Boston, MA",Studio · 1 ba · 471 sqft,"$2,657/mo"
28,"Fan Pier Blvd, Boston, MA",1 bd · 1 ba · 722 sqft,"$3,168/mo"
29,"Northern Ave, Boston, MA","2 bds · 2 ba · 1,112 sqft","$5,180/mo"
30,"346 Congress St # 606, Boston, MA","2 bds · 2.5 ba · 1,394 sqft","$5,500/mo"
31,"Boulevard, Boston, MA",1 bd · 1 ba · 768 sqft,"$2,800/mo"
32,"25 Channel Center St UNIT 801, Boston, MA","2 bds · 2 ba · 1,398 sqft","$4,200/mo"
33,"10 Farnsworth St # 302, Boston, MA","3 bds · 2.5 ba · 2,125 sqft","$14,000/mo"
34,"Congress St, Boston, MA",1 bd · 1 ba · 715 sqft,"$2,825/mo"
35,"374 Congress St, Boston, MA",1 bd · 1 ba · 701 sqft,"$3,299/mo"
36,"398 D St # 314, Boston, MA",1 bd · 1 ba · -- sqft,"$3,212/mo"
37,"Congress St, Boston, MA",1 bd · 1 ba · 717 sqft,"$3,350/mo"
38,"Congress St, Boston, MA","2 bds · 2 ba · 1,115 sqft","$4,395/mo"
39,"Fan Pier Blvd, Boston, MA","2 bds · 2 ba · 1,157 sqft","$4,687/mo"
40,"73 Northern Ave # 1108, Boston, MA","3 bds · 2 ba · 1,235 sqft","$7,600/mo"
41,"Northern Ave, Boston, MA",1 bd · 1 ba · 660 sqft,"$3,822/mo"
42,"Fan Pier Blvd, Boston, MA","3 bds · 2 ba · 1,377 sqft","$7,514/mo"
43,"47 Northern Ave, Boston, MA","2 bds · 2 ba · 1,100 sqft","$4,950/mo"
44,"49 Melcher St UNIT 406, Boston, MA",1 bd · 1 ba · 871 sqft,"$3,200/mo"
45,"55 Thomson Pl # W2, Boston, MA",2 bds · 1 ba · 818 sqft,"$3,975/mo"
46,"Thomson Pl, Boston, MA",1 bd · 1 ba · 579 sqft,"$2,865/mo"
47,"5 Pier Fan Blvd # 301, Boston, MA",1 bd · -- ba · -- sqft,"$3,300/mo"
48,"22 Channel St, Boston, MA",1 bd · 1 ba · 644 sqft,"$3,482/mo"
49,"Congress St, Boston, MA","2 bds · 2 ba · 1,144 sqft","$4,675/mo"
50,"Congress St, Boston, MA",1 bd · 1 ba · 715 sqft,"$2,675/mo"
51,"Fan Pier Blvd, Boston, MA","2 bds · 2 ba · 1,100 sqft","$4,328/mo"
52,"Northern Ave, Boston, MA",Studio · 1 ba · 486 sqft,"$2,849/mo"
53,"20 Liberty Dr # 1616, Boston, MA",Studio · 1 ba · 494 sqft,"$2,330/mo"
54,"Congress St, Boston, MA",1 bd · 1 ba · 712 sqft,"$2,850/mo"
55,"21 Liberty Dr # 509, Boston, MA",1 bd · 1 ba · 660 sqft,"$3,822/mo"
56,"71 Northern Ave # 1401, Boston, MA",1 bd · 1 ba · 800 sqft,"$4,500/mo"
57,"Seaport Blvd, Boston, MA",1 bd · 1 ba · 740 sqft,"$3,800/mo"
58,"311 A St # 1, Boston, MA",Studio · 1 ba · -- sqft,"$2,265/mo"
59,"Thomson Pl, Boston, MA",1 bd · 1 ba · -- sqft,"$3,000/mo"
60,"Stillings St, Boston, MA",1 bd · 1 ba · 684 sqft,"$3,400/mo"
61,"407 D St # S50, Boston, MA",1 bd · 1 ba · 702 sqft,"$2,629/mo"
