"","name","price","latitude","longitude"
"116","Bostonia Public House",2,42.359213,-71.054296
"117","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"118","Menton",4,42.3504581,-71.0483829
"119","Sportello",3,42.35067,-71.04846
"120","Regina Pizza",2,42.3654185550275,-71.0568833173494
"121","Shabu-Zen",2,42.3508174908521,-71.0606166602329
"122","Toscanini's Ice Cream",2,42.366042,-71.078206
"123","Legal Harborside",3,42.34865,-71.03779
"124","Yvonne's",3,42.35549,-71.06141
"125","Gourmet Dumpling House",2,42.3514616954526,-71.0606415876193
"126","Gaslight",2,42.3409677894859,-71.0673901926598
"127","The Daily Catch",2,42.36406,-71.05397
"128","Shojo",2,42.35113,-71.06077
"129","Saus",1,42.3610800091721,-71.0570718850568
"130","Thinking Cup",2,42.3539,-71.06372
"131","Q Restaurant",2,42.3517075922991,-71.0625610949003
"132","Carmelina's",2,42.36388,-71.05415
"133","Picco",2,42.3448751089207,-71.0705310984679
"134","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"135","Shawarma Falafel",1,42.357013,-71.0597644
"136","Wheelhouse",1,42.3579261,-71.0539618
"137","Al's State Street Cafe",1,42.35927,-71.05507
"138","Boston Chowda",2,42.360065,-71.055374
"139","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"140","Legal Sea Foods",3,42.3595530399974,-71.0510174185038
"141","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"142","The Salty Pig",2,42.346881,-71.076121
"143","Casa Razdora",1,42.35805,-71.05461
"144","Silvertone",2,42.3571471,-71.0608731
"145","Taiwan Café",2,42.351503,-71.060239
"146","Clover Food Truck",1,42.3527526855469,-71.0611114501953
"147","The Beehive",2,42.3446991683707,-71.0713935252701
"148","Ruth's Chris Steak House",4,42.358141,-71.059337
"149","Pauli's",2,42.363244212396,-71.0560854227807
"150","Myers & Chang",2,42.3438187315924,-71.066250270967
"151","Toro",3,42.3369631861411,-71.0758940796503
"152","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"153","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"154","Mike & Patty's",1,42.348561,-71.067928
"155","Gaslight",2,42.3409677894859,-71.0673901926598
"156","Flour Bakery & Cafe",2,42.338443,-71.074548
"157","Picco",2,42.3448751089207,-71.0705310984679
"158","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"159","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"160","The Salty Pig",2,42.346881,-71.076121
"161","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"162","The Beehive",2,42.3446991683707,-71.0713935252701
"163","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"164","Giacomo's Ristorante",2,42.36458,-71.05344
"165","Myers & Chang",2,42.3438187315924,-71.066250270967
"166","Mistral",4,42.3481578332115,-71.072759141675
"167","The Capital Grille",4,42.3478110031284,-71.0851110928626
"168","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"169","B&G Oysters",3,42.34388,-71.07123
"170","L'Espalier",4,42.3489650343414,-71.0809740424965
"171","Coppa",3,42.3434049842376,-71.0684599315418
"172","Blunch",1,42.3354929990873,-71.0747301578522
"173","Orinoco",2,42.33892,-71.07596
"174","Parish Cafe and Bar",2,42.351822284275,-71.071625035216
"175","Pho Basil",2,42.3457679748535,-71.0873718261719
"176","Abe & Louie's",3,42.3492240905762,-71.0815887451172
"177","Giacomo's",2,42.34406,-71.077732
"178","Toscanini's Ice Cream",2,42.366042,-71.078206
"179","Render Coffee",1,42.3411102,-71.0815582
"180","The Gallows",2,42.3413899,-71.07019
"181","Thinking Cup",2,42.351734691006,-71.0746758944958
"182","Saltie Girl",3,42.3511377,-71.0776626
"183","Stella",3,42.33994,-71.0725
"184","Flour Bakery + Café",2,42.35137,-71.04881
"185","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"186","Aquitaine",3,42.34381,-71.07235
"187","Sam LaGrassa's",2,42.35689,-71.05994
"188","Sorellina",4,42.3488367161261,-71.0779036594912
"189","Row 34",3,42.3495808510305,-71.0475044128162
"190","The Friendly Toast",2,42.348533,-71.073257
"191","Mike's City Diner",1,42.33688,-71.07604
"192","Douzo",3,42.3468979763336,-71.0755712773849
"193","SRV Boston",3,42.3409180006501,-71.0816150531173
"194","O Ya",4,42.3514083135866,-71.056866645813
"195","Modern Pastry Shop",1,42.36324,-71.05474
"196","Grill 23 & Bar",4,42.3494218727725,-71.0720500564835
"197","Top of the Hub",3,42.3485661293609,-71.0822875410004
"198","Regina Pizza",2,42.3654185550275,-71.0568833173494
"199","Oishii Boston",4,42.343216559683,-71.066379535192
"200","Thinking Cup",2,42.3539,-71.06372
"201","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"202","Row 34",3,42.3495808510305,-71.0475044128162
"203","Giacomo's Ristorante",2,42.36458,-71.05344
"204","Drink",3,42.35067,-71.04846
"205","Yankee Lobster",2,42.347921583679,-71.035987943405
"206","Toro",3,42.3369631861411,-71.0758940796503
"207","Mike & Patty's",1,42.348561,-71.067928
"208","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"209","Flour Bakery + Café",2,42.35137,-71.04881
"210","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"211","Gaslight",2,42.3409677894859,-71.0673901926598
"212","Cafe Polonia",2,42.32878,-71.05712
"213","Modern Pastry Shop",1,42.36324,-71.05474
"214","O Ya",4,42.3514083135866,-71.056866645813
"215","Sam LaGrassa's",2,42.35689,-71.05994
"216","Toscanini's Ice Cream",2,42.366042,-71.078206
"217","James Hook & Co",2,42.3549617,-71.0509737
"218","Lincoln Tavern and Restaurant",2,42.33632,-71.04763
"219","Regina Pizza",2,42.3654185550275,-71.0568833173494
"220","Menton",4,42.3504581,-71.0483829
"221","Loco Taqueria and Oyster Bar",2,42.3369670759542,-71.0477377406966
"222","Sportello",3,42.35067,-71.04846
"223","Picco",2,42.3448751089207,-71.0705310984679
"224","Legal Harborside",3,42.34865,-71.03779
"225","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"226","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"227","The Salty Pig",2,42.346881,-71.076121
"228","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"229","The Beehive",2,42.3446991683707,-71.0713935252701
"230","Thinking Cup",2,42.3539,-71.06372
"231","Myers & Chang",2,42.3438187315924,-71.066250270967
"232","Avana Sushi",1,42.3515433311481,-71.0609420250346
"233","Flour Bakery & Cafe",2,42.338443,-71.074548
"234","The Daily Catch",2,42.36406,-71.05397
"235","Mistral",4,42.3481578332115,-71.072759141675
"236","Saus",1,42.3610800091721,-71.0570718850568
"237","Carmelina's",2,42.36388,-71.05415
"238","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"239","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"240","Marliave",3,42.357014071346,-71.060306250729
"241","Oleana Restaurant",3,42.37055,-71.09713
"242","The Capital Grille",4,42.3478110031284,-71.0851110928626
"243","Shabu-Zen",2,42.3508174908521,-71.0606166602329
"244","Bostonia Public House",2,42.359213,-71.054296
