,address,others,price
0,"33 Browning Ave # 1, Boston, MA",2 bds · 1 ba · 950 sqft,"$1,600/mo"
1,"31 Aspinwall Rd # 2, Boston, MA","3 bds · 2 ba · 1,600 sqft","$3,800/mo"
2,"49 Thetford Ave, Boston, MA",3 bds · 1 ba · -- sqft,"$1,950/mo"
3,"79 Florida St # B10, Dorchester, MA",2 bds · 1 ba · 702 sqft,"$1,895/mo"
4,"Harvard St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,950/mo"
5,"58 Lithgow St # 1, Boston, MA","3 bds · 1 ba · 9,999 sqft","$2,475/mo"
6,"40 Melbourne St # 1, Boston, MA","3 bds · 2 ba · 1,000 sqft","$2,450/mo"
7,"76 Westmoreland St # 1, Boston, MA","3 bds · 1 ba · 1,300 sqft","$2,400/mo"
8,"504 Talbot Ave # 3, Dorchester Center, MA","4 bds · 1 ba · 1,500 sqft","$2,600/mo"
9,"200 Norfolk St # 3, Boston, MA","2 bds · 1 ba · 1,200 sqft","$2,000/mo"
10,"34 Alicia Rd # 34, Boston, MA","2 bds · 1 ba · 1,200 sqft","$2,000/mo"
11,"11 Joseph St # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,050/mo"
12,"94 Florida St # 3, Boston, MA",2 bds · 1 ba · 854 sqft,"$1,850/mo"
13,"51 Florida St # 3, Boston, MA","3 bds · 1 ba · 1,134 sqft","$3,200/mo"
14,"6 Dakota St # 3A, Dorchester Center, MA","3 bds · 1 ba · 3,441 sqft","$2,200/mo"
15,"Fuller St, Boston, MA","3 bds · 1 ba · 1,150 sqft","$2,550/mo"
16,"Fuller St, Dorchester Center, MA","3 bds · 1 ba · 1,150 sqft","$2,550/mo"
17,"130 Wrentham St # 1, Dorchester, MA","2 bds · 1 ba · 1,000 sqft","$2,000/mo"
18,"341 Gallivan Blvd UNIT 9, Dorchester, MA","2 bds · 1.5 ba · 1,400 sqft","$2,500/mo"
19,"80 Beaumont St APT 206L, Boston, MA",2 bds · 1 ba · -- sqft,"$1,950/mo"
20,"88 Burt St # 2, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,250/mo"
21,"Bowdoin St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,500/mo"
22,"88 Selden St # 1, Boston, MA","3 bds · 1 ba · 1,100 sqft","$1,800/mo"
23,"239 Norfolk St # E, Boston, MA","Studio · 1 ba · 1,299 sqft","$1,590/mo"
24,"15-17 Grant Pl # 2, Boston, MA",2 bds · 1 ba · 882 sqft,"$2,200/mo"
25,"22 Hildreth St # 1, Boston, MA","2 bds · 1 ba · 1,100 sqft","$1,950/mo"
26,"100 Lonsdale St # 2, Dorchester, MA",2 bds · 1 ba · 950 sqft,"$2,000/mo"
27,"Norwell St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,200/mo"
28,"Spencer St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
29,"Silloway St, Dorchester Center, MA","5 bds · 2 ba · 2,100 sqft","$3,800/mo"
30,"80 Beaumont St APT 206, Boston, MA","2 bds · 1 ba · 99,999 sqft","$1,950/mo"
31,"55 Codman Hill Ave # 1, Boston, MA","2 bds · 1 ba · 1,150 sqft","$1,850/mo"
32,"Harvard St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,500/mo"
33,"Adams St, Dorchester, MA","2 bds · 2 ba · 1,500 sqft","$3,699/mo"
34,"19 Regina Rd # 3, Boston, MA",3 bds · 1 ba · -- sqft,"$2,350/mo"
35,"204 Norfolk St # 3, Boston, MA","2 bds · 1 ba · 1,100 sqft","$1,800/mo"
36,"Spencer St, Boston, MA","2 bds · 1 ba · 1,065 sqft","$2,100/mo"
37,"22 Allston St # 1, Boston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
38,"1245 Adams St # B408, Boston, MA","1 bd · 1.5 ba · 1,207 sqft","$3,000/mo"
39,"1241-1255 Adams # F608, Boston, MA","2 bds · 2.5 ba · 2,184 sqft","$4,500/mo"
40,"145 Millet St # 1, Boston, MA","2 bds · 1 ba · 3,594 sqft","$1,900/mo"
41,"60 Dracut St # 2, Boston, MA","4 bds · 3 ba · 2,250 sqft","$3,000/mo"
42,"Fuller St, Dorchester Center, MA","3 bds · 1 ba · 1,200 sqft","$2,500/mo"
43,"22 Bradlee St # 2, Boston, MA","3 bds · 1 ba · 1,200 sqft","$1,800/mo"
