,address,others,price
0,"216 Highland St # 3, Boston, MA",2 bds · 1 ba · 800 sqft,"$1,750/mo"
1,"2937 Washington St # 2, Boston, MA","4 bds · 2.5 ba · 1,450 sqft","$3,450/mo"
2,"56 W Walnut Park # 1, Boston, MA",3 bds · 1 ba · -- sqft,"$3,000/mo"
3,"Centre St, Boston, MA",4 bds · 1 ba · -- sqft,"$3,200/mo"
4,"School St, Roxbury, MA","2 bds · -- ba · 1,000 sqft","$2,100/mo"
5,"66 Linwood St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,895/mo"
6,"4 Atherton Pl # 2M, Boston, MA",4 bds · 1 ba · -- sqft,"$3,750/mo"
7,"153 Amory St # 3, Roxbury, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
8,"9 Saint James St # 1, Boston, MA","5 bds · 1 ba · 2,000 sqft","$4,500/mo"
9,"45 Beech Glen St, Boston, MA","3 bds · 1.5 ba · 4,162 sqft","$3,195/mo"
10,"11 Maywood St # 2, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,500/mo"
11,"5 Atherton Pl, Boston, MA",4 bds · 1 ba · -- sqft,"$3,750/mo"
12,"Washington St, Boston, MA",3 bds · 2.5 ba · -- sqft,"$3,970/mo"
13,"52 W Walnut Park # 11, Boston, MA",3 bds · 1 ba · -- sqft,"$3,100/mo"
14,"13 Centre St # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,300/mo"
15,"11 Wakullah St UNIT 2, Boston, MA","3 bds · 1 ba · 1,300 sqft","$1,900/mo"
16,"W Walnut Park, Boston, MA",3 bds · 2 ba · -- sqft,"$3,000/mo"
17,"14 Marcella St # B, Boston, MA","2 bds · 1 ba · 2,320 sqft","$2,700/mo"
18,"509 Dudley St, Boston, MA",3 bds · 2 ba · -- sqft,"$2,600/mo"
19,"71X1 School St # 1, Roxbury, MA",3 bds · 1 ba · -- sqft,"$2,650/mo"
20,"31 Thornton St # 101, Boston, MA","3 bds · 1 ba · 1,000 sqft","$3,300/mo"
21,"School St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,550/mo"
22,"School St, Boston, MA","3 bds · 1 ba · 1,050 sqft","$2,650/mo"
23,"30 Gardner St # 6G, Boston, MA",1 bd · 1 ba · -- sqft,"$2,125/mo"
24,"71 School St # _02R, Boston, MA",3 bds · 1 ba · -- sqft,"$2,650/mo"
25,"1 Langdon St # 31, Boston, MA",2 bds · 1 ba · -- sqft,"$3,195/mo"
26,"Notre Dame St, Roxbury, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
27,"John Eliot Sq, Boston, MA",2 bds · 1 ba · 813 sqft,"$2,200/mo"
28,"23 Harold St # 2, Boston, MA","4 bds · 1 ba · 1,063 sqft","$2,800/mo"
29,"72 Walnut Park, Boston, MA",5 bds · 1 ba · -- sqft,"$3,600/mo"
30,"42 Marcella St # 1NN, Roxbury, MA",3 bds · 1.5 ba · -- sqft,"$2,750/mo"
31,"11 Langdon St # 2, Boston, MA","5 bds · 2 ba · 1,250 sqft","$2,800/mo"
32,"38 Whiting St # 1, Roxbury, MA",3 bds · 2 ba · -- sqft,"$2,500/mo"
33,"225 Centre, 2 Bedroom 2 Bath with a Den",2 bds · 2 ba · -- sqft,"$2,950+/mo"
34,"3001 Washington St, Roxbury, MA",Studio · 1 ba · 800 sqft,"$1,400/mo"
35,"12 Townsend St # 44, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,495/mo"
36,"Beech Glen St, Boston, MA",5 bds · 3.5 ba · -- sqft,"$4,500/mo"
37,"24 Millmont St # A, Boston, MA",2 bds · 1 ba · 910 sqft,"$1,950/mo"
38,"13 Ruggles St, Boston, MA",2 bds · 1 ba · 850 sqft,"$1,775/mo"
39,"35 Rockledge St, Boston, MA",3 bds · 1.5 ba · -- sqft,"$2,695/mo"
40,"162 Centre St # 3, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
41,"George St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,700/mo"
42,"24 Townsend St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,495/mo"
43,"85 Munroe St APT 3, Boston, MA","4 bds · 2 ba · 1,359 sqft","$3,200/mo"
