,address,others,price
0,"Commonwealth Ave, Boston, MA",2 bds · 2 ba · 800 sqft,"$3,200/mo"
1,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,950/mo"
2,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · 600 sqft,"$2,200/mo"
3,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · 600 sqft,"$2,200/mo"
4,"Charlesgate E, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,500/mo"
5,"44 Peterborough St, Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,700/mo"
6,"Park Dr, Boston, MA",2 bds · 1 ba · -- sqft,"$2,875/mo"
7,"Beacon St, Boston, MA",1 bd · 1 ba · 760 sqft,"$2,500/mo"
8,"124 Park Dr # 3RK, Boston, MA",Studio · 1 ba · -- sqft,"$1,800/mo"
9,"99 Jersey St # 102RK, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
10,"Charlesgate E, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
11,"Charlesgate E, Boston, MA",1 bd · 1 ba · 550 sqft,"$2,150/mo"
12,"Queensberry St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,975/mo"
13,"Boylston St, Boston, MA",Studio · 1 ba · -- sqft,"$1,525/mo"
14,"Charlesgate E, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,500/mo"
15,"Park Dr, Boston, MA",2 bds · 1 ba · -- sqft,"$2,875/mo"
16,"Beacon St, Boston, MA",1 bd · 1 ba · 760 sqft,"$2,500/mo"
17,"Charlesgate E, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
18,"Queensberry St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,950/mo"
19,"10 Aberdeen St # 2, Boston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
20,"460 Park Dr # 2, Boston, MA",3 bds · 1 ba · -- sqft,"$3,700/mo"
21,"1073 Commonwealth Ave, Boston, MA",2 bds · 2 ba · -- sqft,"$3,450/mo"
22,"67 Park Dr # 1F, Boston, MA",2 bds · 1 ba · 530 sqft,"$3,000/mo"
23,"Aberdeen St, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,400/mo"
24,"Queensberry St, Boston, MA",Studio · 1 ba · -- sqft,"$1,725/mo"
25,"Charlesgate W, Boston, MA",Studio · -- ba · 193 sqft,$840/mo
26,"Park Drive Boston Ma, Boston, MA",2 bds · 1 ba · -- sqft,"$2,550/mo"
27,"Peterborough St, Boston, MA",2 bds · 1 ba · 962 sqft,"$3,300/mo"
28,"118 Riverway APT 35, Boston, MA",1 bd · 1 ba · 486 sqft,"$2,000/mo"
29,"(undisclosed Address), Boston, MA",3 bds · 1 ba · 837 sqft,"$4,195/mo"
30,"(undisclosed Address), Boston, MA","5 bds · 2 ba · 1,400 sqft","$5,300/mo"
31,"380 Commonwealth Ave # 404, Boston, MA","2 bds · 1.5 ba · 1,013 sqft","$3,495/mo"
32,"518 Beacon St # 3B, Boston, MA",2 bds · 1 ba · -- sqft,"$3,395/mo"
33,"493 Beacon St # 90, Boston, MA",2 bds · 1 ba · -- sqft,"$3,200/mo"
34,"4 Charlesgate E APT 301, Boston, MA","2 bds · 2 ba · 1,033 sqft","$3,550/mo"
35,"80 Queensberry St # 1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,550/mo"
36,"38 Peterborough St, Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,700/mo"
37,"31 Queensberry St APT 6S, Boston, MA",Studio · 1 ba · -- sqft,"$1,725/mo"
38,"908 Beacon St APT 3A, Boston, MA",Studio · 1 ba · -- sqft,"$1,650/mo"
39,"420 Commonwealth Ave # 42, Boston, MA",1 bd · 1 ba · -- sqft,"$3,450/mo"
40,"1067 Commonwealth Ave # 23CA, Boston, MA",4 bds · 2 ba · -- sqft,"$4,600/mo"
41,"Kelton, Boston Allston, MA",Studio · 1 ba · -- sqft,"$1,495/mo"
42,"372 Commonwealth Ave # 5, Boston, MA",1 bd · 1 ba · 620 sqft,"$3,000/mo"
43,"Park Dr, Boston, MA",1 bd · -- ba · 685 sqft,"$2,870/mo"
44,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$2,700/mo"
45,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 801 sqft,"$2,915/mo"
46,"5 Buswell St # 6145372, Boston, MA",Studio · 1 ba · -- sqft,"$1,850/mo"
47,"416 Commonwealth Ave, Boston, MA",1 bd · 1 ba · 700 sqft,"$3,450/mo"
48,"25 Bay State Rd SUITE 3, Boston, MA","2 bds · 1.5 ba · 1,152 sqft","$5,000/mo"
49,"72 Park Dr # D1, Boston, MA",Studio · 1 ba · 583 sqft,"$1,825/mo"
50,"20 Peterborough St # 12, Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,600/mo"
51,"14 Charlesgate E # 2, Boston, MA",1 bd · 1 ba · -- sqft,"$2,600/mo"
52,"474 Commonwealth Ave # 52, Boston, MA",1 bd · 1 ba · 628 sqft,"$2,500/mo"
53,"Park Dr, Boston, MA",2 bds · 1 ba · -- sqft,"$2,875/mo"
54,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
55,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$1,850/mo"
56,"Boylston St, Boston, MA",3 bds · 1 ba · -- sqft,"$3,075/mo"
57,"(undisclosed Address), Boston, MA",Studio · 1 ba · -- sqft,"$1,925/mo"
58,"Peterborough St, Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,600/mo"
59,"19 Peterborough St # 503A, Boston, MA",2 bds · 2 ba · -- sqft,"$4,000/mo"
60,"119 Queensberry St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,075/mo"
61,"50 Queensberry St, Boston, MA",1 bd · 1 ba · 600 sqft,"$2,225/mo"
62,"110 Peterborough St # 1C, Boston, MA",Studio · 1 ba · 300 sqft,"$1,625/mo"
63,"Peterborough St, Boston, MA","2 bds · 2 ba · 1,100 sqft","$4,000/mo"
64,"494 Commonwealth Ave # 4, Boston, MA",1 bd · 1 ba · 750 sqft,"$2,000/mo"
65,"15 Buswell St APT 7, Boston, MA",1 bd · 1 ba · -- sqft,"$1,750/mo"
66,"7 Buswell St # 6140145, Boston, MA",1 bd · 1 ba · -- sqft,"$1,750/mo"
