,address,others,price
0,"Chester St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,925/mo"
1,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
2,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
3,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
4,"Fordham Rd, Allston, MA",3 bds · 2 ba · -- sqft,"$2,850/mo"
5,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
6,"Saint Lukes Rd, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
7,"2 Wadsworth St, Boston, MA","5 bds · 3 ba · 2,031 sqft","$4,400/mo"
8,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
9,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
10,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
11,"Harvard Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,225/mo"
12,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
13,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
14,"Harvard Ave, Allston, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
15,"Chester St, Allston, MA",3 bds · 2 ba · -- sqft,"$3,150/mo"
16,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
17,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
18,"Commonwealth Ave, Allston, MA",Studio · 1 ba · -- sqft,"$1,450/mo"
19,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
20,"Commonwealth Ave, Allston, MA",3 bds · 1 ba · -- sqft,"$3,100/mo"
21,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
22,"Commonwealth Ave, Allston, MA",1 bd · 1 ba · -- sqft,"$1,675/mo"
23,"Pratt St, Allston, MA",6 bds · 2 ba · -- sqft,"$5,400/mo"
24,"Chester St, Allston, MA",1 bd · 1 ba · -- sqft,"$1,925/mo"
25,"Saint Lukes Rd, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
26,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
27,"Harvard Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,225/mo"
28,"1252 Commonwealth Ave # 6RK, Allston, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
29,"19 Glenville Ave # RK, Allston, MA",2 bds · 1 ba · -- sqft,"$2,150/mo"
30,"Pratt St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
31,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
32,"Aldie St, Boston, MA",6 bds · 3 ba · 999 sqft,"$3,995/mo"
33,"Linden St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,800/mo"
34,"(undisclosed Address), Boston, MA",Studio · 1 ba · 425 sqft,"$1,475/mo"
35,"(undisclosed Address), Allston, MA",4 bds · 1 ba · -- sqft,"$2,600/mo"
36,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
37,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
38,"(undisclosed Address), Allston, MA",3 bds · 1 ba · -- sqft,"$2,900/mo"
39,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
40,"(undisclosed Address), Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
41,"Chester St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,925/mo"
42,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
43,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
44,"Fordham Rd, Allston, MA",3 bds · 2 ba · -- sqft,"$2,850/mo"
45,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
46,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
47,"Saint Lukes Rd, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
48,"Chester St, Allston, MA",3 bds · 2 ba · -- sqft,"$3,150/mo"
49,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
50,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
51,"Harvard Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,225/mo"
52,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
53,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
54,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
55,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,300/mo"
56,"Harvard Ave, Allston, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
57,"13 Bayard St # JA, Allston, MA",4 bds · 2.5 ba · -- sqft,"$4,500/mo"
58,"Commonwealth Ave, Allston, MA",Studio · 1 ba · -- sqft,"$1,450/mo"
59,"Commonwealth Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,450/mo"
60,"Pratt St, Allston, MA",6 bds · 2 ba · -- sqft,"$5,400/mo"
61,"Kelton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
62,"Commonwealth Ave, Allston, MA",3 bds · 1 ba · -- sqft,"$3,100/mo"
63,"Commonwealth Ave, Allston, MA",1 bd · 1 ba · -- sqft,"$1,675/mo"
64,"Kelton St, Allston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
65,"Saint Lukes Rd, Allston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
66,"Chester St, Allston, MA",1 bd · 1 ba · -- sqft,"$1,925/mo"
67,"Harvard Ave, Allston, MA",2 bds · 1 ba · -- sqft,"$2,225/mo"
68,"Pratt St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
69,"316 N Harvard St # 3, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
70,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,350/mo"
71,"Commonwealth Ave, Allston, MA","3 bds · 1 ba · 1,225 sqft","$3,150/mo"
72,"128 Allston St, Allston, MA",1 bd · 1 ba · -- sqft,"$1,785/mo"
73,"(undisclosed Address), Allston, MA","3 bds · 1 ba · 1,000 sqft","$2,200/mo"
74,"Commonwealth Ave, Allston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
75,"Scottfield Rd, Allston, MA",1 bd · 1 ba · -- sqft,"$2,100/mo"
76,"Kelton St, Allston, MA",1 bd · 1 ba · 590 sqft,"$1,795/mo"
77,"11 Pratt St # 2, Allston, MA",5 bds · 2 ba · -- sqft,"$3,600/mo"
78,"263 N Harvard St # RCV, Allston, MA",2 bds · 2 ba · -- sqft,"$2,600/mo"
79,"Spofford Rd, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,100/mo"
80,"(undisclosed Address), Boston, MA",Studio · 1 ba · -- sqft,"$1,550/mo"
81,"61 Quint Ave # UN008, Allston, MA",2 bds · 1 ba · -- sqft,"$2,600/mo"
82,"Weitz St, Allston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
83,"Weitz St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,600/mo"
84,"Easton St, Allston, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
85,"13 Aldie St # CV, Allston, MA",3 bds · 2 ba · -- sqft,"$2,750/mo"
86,"47 Scottfield Rd, Allston, MA","1 bd · 1 ba · 14,751 sqft","$1,675/mo"
87,"55 Park Vale Ave # 15H, Allston, MA",2 bds · 1 ba · -- sqft,"$2,250/mo"
88,"20 Bayard St, Boston, MA","3 bds · 1 ba · 1,200 sqft","$3,295/mo"
