,address,others,price
0,"64 Wyman St # 1, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,800/mo"
1,"22X1 Burr St # 1, Jamaica Plain, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
2,"(undisclosed Address), Jamaica Plain, MA",1 bd · 1 ba · -- sqft,"$1,700/mo"
3,"Tower St, Boston, MA","3 bds · 1.5 ba · 1,200 sqft","$3,500/mo"
4,"82 Hyde Park Ave # 3, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
5,"Lamartine St, Jamaica Plain, MA",4 bds · 2 ba · -- sqft,"$4,000/mo"
6,"47 Glen Rd # 1, Boston, MA",1 bd · 1 ba · 900 sqft,"$1,600/mo"
7,"463 Arborway APT 9, Boston, MA",2 bds · 1 ba · 730 sqft,"$2,000/mo"
8,"Forest Hills St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
9,"Clive, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
10,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 525 sqft,"$1,700/mo"
11,"Forbes St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
12,"S Huntington Ave, Boston, MA",Studio · 1 ba · -- sqft,"$2,100/mo"
13,"31 Iffley Rd # UN001, Jamaica Plain, MA",3 bds · 1 ba · -- sqft,"$2,900/mo"
14,"81 Child St # 3, Boston, MA",2 bds · 1 ba · 932 sqft,"$2,600/mo"
15,"45 Forest Hills St # 2, Boston, MA",2 bds · 1 ba · 857 sqft,"$2,200/mo"
16,"29 Wachusett St # 1, Boston, MA",2 bds · 1 ba · 980 sqft,"$2,350/mo"
17,"20 Jamaicaway APT 4, Boston, MA",1 bd · 1 ba · 585 sqft,"$1,725/mo"
18,"Tower St, Boston, MA","3 bds · -- ba · 1,100 sqft","$3,500/mo"
19,"Boylston St, Boston, MA",1 bd · -- ba · -- sqft,"$1,750/mo"
20,"34 Mozart St # 1, Boston, MA","3 bds · 1 ba · 1,216 sqft","$2,700/mo"
21,"5 Mark St # 1, Boston, MA","4 bds · 1 ba · 1,000 sqft","$3,000/mo"
22,"Jamaicaway, Boston, MA",1 bd · 1 ba · -- sqft,"$2,100/mo"
23,"13 Parley Ave # A, Jamaica Plain, MA",3 bds · 2.5 ba · -- sqft,"$4,200/mo"
24,"Boylston St, Boston, MA","1 bd · 1 ba · 1,000 sqft","$1,795/mo"
25,"Lamartine St, Boston, MA",2 bds · 1 ba · 950 sqft,"$3,600/mo"
26,"Hyde Park Ave, Boston, MA","4 bds · 1 ba · 1,000 sqft","$2,995/mo"
27,"18 Bourne St # 18, Boston, MA","2 bds · 1 ba · 1,240 sqft","$2,400/mo"
28,"189 Chestnut Ave, Jamaica Plain, MA","2 bds · 1 ba · 9,999 sqft","$2,600/mo"
29,"Pond St, Jamaica Plain, MA",1 bd · 1 ba · 684 sqft,"$2,000/mo"
30,"59 Tower St # 1N, Boston, MA","3 bds · 1 ba · 1,177 sqft","$2,750/mo"
31,"67 Wyman St # 1AS, Boston, MA",4 bds · 1 ba · -- sqft,"$3,200/mo"
32,"186 Boylston St # 1G, Jamaica Plain, MA",3 bds · 1 ba · -- sqft,"$2,800/mo"
33,"94 Montebello Rd APT 2Y, Jamaica Plain, MA",4 bds · 1 ba · -- sqft,"$3,400/mo"
34,"14 Woodlawn St # 1J, Boston, MA",3 bds · 1 ba · 930 sqft,"$3,450/mo"
