,address,others,price
0,"Gainsborough St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,900/mo"
1,"Westland Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,750/mo"
2,"Burbank St, Boston, MA",Studio · 1 ba · -- sqft,"$1,725/mo"
3,"13 Albemarle St, Boston, MA","3 bds · 3 ba · 1,400 sqft","$5,300/mo"
4,"338 Marlborough St APT 2, Boston, MA",1 bd · 1 ba · 820 sqft,"$3,400/mo"
5,"10 Mission St # _002, Boston, MA",4 bds · 2 ba · -- sqft,"$4,500/mo"
6,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 590 sqft,"$2,450/mo"
7,"913 Boylston St APT 5, Boston, MA","2 bds · 1 ba · 99,999 sqft","$3,400/mo"
8,"(undisclosed Address), Boston, MA","3 bds · 1 ba · 1,370 sqft","$4,500/mo"
9,"(undisclosed Address), Boston, MA",3 bds · 1 ba · -- sqft,"$3,750/mo"
10,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,360/mo"
11,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,875/mo"
12,"345 Commonwealth Ave # 1-A, Boston, MA",2 bds · 1 ba · 683 sqft,"$3,500/mo"
13,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,600/mo"
14,"Burbank St, Boston, MA",Studio · 1 ba · -- sqft,"$1,725/mo"
15,"376 Riverway, Boston, MA",1 bd · 1 ba · -- sqft,"$1,695/mo"
16,"131 Park Dr Boston Ma 02115 # 24, Boston, MA",Studio · 1 ba · 366 sqft,"$1,725/mo"
17,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,910/mo"
18,"Commonwealth Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,575/mo"
19,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,230/mo"
20,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,875/mo"
21,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,875/mo"
22,"Commonwealth Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,320/mo"
23,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,090/mo"
24,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,125/mo"
25,"Commonwealth Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,090/mo"
26,"Saint Stephen St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,200/mo"
27,"Gainsborough St, Boston, MA",2 bds · 1 ba · 570 sqft,"$3,400/mo"
28,"Saint Stephen St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,200/mo"
29,"28 Edgerly Rd APT 1, Boston, MA",2 bds · 1 ba · 650 sqft,"$2,700/mo"
30,"223 Massachusetts Ave, Boston, MA",1 bd · 1 ba · 700 sqft,"$3,020/mo"
31,"109 Norway St # 4, Boston, MA",1 bd · 1 ba · -- sqft,"$1,600/mo"
32,"222 Massachusetts Ave, Boston, MA",1 bd · 1 ba · 765 sqft,"$3,150/mo"
33,"Clearway St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$4,300/mo"
