,address,others,price
65,"431 Shawmut Ave, Boston, MA",2 bds · 2 ba · 810 sqft,"$3,000/mo"
66,"Douglas Park, Boston, MA",3 bds · 2 ba · -- sqft,"$4,600/mo"
67,"Douglas Park, Boston, MA",2 bds · 1 ba · -- sqft,"$3,150/mo"
68,"295 Shawmut Ave # 4, Boston, MA",2 bds · 1 ba · 700 sqft,"$2,850/mo"
69,"164 W Canton St # 1, Boston, MA","2 bds · 1 ba · 1,100 sqft","$3,500/mo"
70,"676 Tremont St APT 4, Boston, MA",2 bds · 1 ba · -- sqft,"$3,750/mo"
71,"110 Pembroke St # 3, Boston, MA",1 bd · 1 ba · 875 sqft,"$2,450/mo"
72,"Massachusetts Ave, Boston, MA","4 bds · 2 ba · 99,999 sqft","$6,000/mo"
73,"E Brookline St, Boston, MA",2 bds · 1 ba · 650 sqft,"$2,475/mo"
74,"Harrison Ave, Boston, MA","1 bd · 1 ba · 1,000 sqft","$2,695/mo"
75,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 860 sqft,"$3,200/mo"
76,"13 Newcomb St # 12, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
77,"Northampton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
78,"E Brookline St, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,900/mo"
79,"202 Northampton St # 1, Boston, MA",2 bds · 1 ba · 730 sqft,"$2,500/mo"
80,"91 E Brookline St APT 2, Boston, MA",2 bds · 1 ba · -- sqft,"$2,475/mo"
81,"E Brookline St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,475/mo"
82,"Massachusetts Ave, Boston, MA","3 bds · 1 ba · 1,550 sqft","$4,000/mo"
83,"70-72 Northampton St UNIT 205, Boston, MA",1 bd · 1 ba · 675 sqft,"$3,100/mo"
84,"598 Albany St # 1, Boston, MA",1 bd · 1 ba · 750 sqft,"$2,750/mo"
85,"664 Massachusetts Ave APT 3, Boston, MA",2 bds · 1 ba · 800 sqft,"$2,500/mo"
86,"11 Saint George St APT 13C, Boston, MA","2 bds · 2 ba · 1,124 sqft","$4,500/mo"
87,"E Springfield St, Boston, MA",2 bds · 1.5 ba · -- sqft,"$4,000/mo"
88,"Union Park St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,450/mo"
89,"565 Columbus Ave APT 3A, Boston, MA",3 bds · 1 ba · 850 sqft,"$3,750/mo"
90,"586 Columbus Ave # 2TT, Boston, MA",4 bds · 1 ba · -- sqft,"$4,500/mo"
91,"Washington St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
