,address,others,price
0,"1 Crandall St # 2, Boston, MA","1 bd · 1 ba · 99,999 sqft","$2,000/mo"
1,"200 Durnell Ave APT 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,800/mo"
2,"70 Kittredge St # 1, Boston, MA",2 bds · 1 ba · -- sqft,"$1,875/mo"
3,"36 Neponset Ave # 2, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,500/mo"
4,"36 Lorraine St # 2, Boston, MA","3 bds · 1.5 ba · 2,000 sqft","$2,400/mo"
5,"Hyde Park Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,500/mo"
6,"24 Colgate Rd APT 7, Boston, MA",1 bd · 1 ba · -- sqft,"$1,450/mo"
7,"123 Kittredge St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,200/mo"
8,"Grew Hl, Boston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
9,"Washington St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,350/mo"
10,"3899X1 Washington # 1, Roslindale, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
11,"110 Cornell St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,800/mo"
12,"231 Roslindale Ave # 2, Boston, MA","2 bds · 1 ba · 1,500 sqft","$2,100/mo"
13,"80 Roslindale Ave # 1, Boston, MA","2 bds · 1 ba · 1,060 sqft","$2,100/mo"
14,"60 Catherine St # 2, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,200/mo"
15,"84 Alpheus Rd, Boston, MA",1 bd · 1 ba · -- sqft,"$1,600/mo"
16,"21 Farquhar St # 3, Roslindale, MA",1 bd · 1 ba · -- sqft,"$1,400/mo"
17,"130 Metropolitan Ave # 3, Boston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
18,"American Legion Hwy, Boston, MA",1 bd · 1 ba · 624 sqft,"$1,500/mo"
19,"4442 Washington St # 2, Boston, MA","3 bds · 1 ba · 1,500 sqft","$2,350/mo"
20,"659 Hyde Park Ave # 8, Boston, MA",4 bds · 2 ba · -- sqft,"$6,000/mo"
21,"15 Conway St # 2, Roslindale, MA",2 bds · 1 ba · 750 sqft,"$1,850/mo"
22,"28 Montvale St # 1, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,300/mo"
23,"4448 Washington St # 1, Boston, MA","2 bds · 2 ba · 1,000 sqft","$2,400/mo"
24,"488 Hyde Park Ave # 1, Boston, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
25,"4076 Washington St APT 2F, Boston, MA",2 bds · 1 ba · -- sqft,"$1,875/mo"
26,"Metropolitan Ave, Boston, MA","3 bds · 1 ba · 1,300 sqft","$2,000/mo"
27,"Washington St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
28,"7 Tyndale St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,500/mo"
29,"Poplar St, Roslindale, MA","3 bds · 1.5 ba · 1,500 sqft","$2,600/mo"
30,"6 Hayes Rd APT 21, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,650/mo"
31,"Clare Ave, Roslindale, MA","2 bds · 1 ba · 9,999 sqft","$1,900/mo"
32,"11 Marion St APT D, Boston, MA","2 bds · 1.5 ba · 1,075 sqft","$2,100/mo"
33,"29 Kittredge St # 2, Boston, MA","4 bds · 2 ba · 1,900 sqft","$3,000/mo"
34,"445 Beech St # 1B, Roslindale, MA","1 bd · 1 ba · 1,000 sqft","$1,625/mo"
35,"2-4 Clare Ave # 1, Boston, MA",2 bds · 1 ba · 800 sqft,"$1,900/mo"
36,"4 Clare Ave # 1, Roslindale, MA",2 bds · 1 ba · 850 sqft,"$1,900/mo"
37,"28 Montvale St, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,300/mo"
38,"18 Robert St # 3, Boston, MA","2 bds · 2 ba · 1,065 sqft","$2,650/mo"
39,"Washington St, Boston, MA","3 bds · 1 ba · 1,130 sqft","$2,200/mo"
40,"Hyde Park Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,500/mo"
41,"38 Harding Rd, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,200/mo"
42,"41 Firth Rd # 2, Roslindale, MA","3 bds · 1 ba · 1,100 sqft","$2,400/mo"
43,"(undisclosed Address), Roslindale, MA",2 bds · 1 ba · 990 sqft,"$1,850/mo"
44,"968 South St # 1, Boston, MA","2 bds · 1 ba · 1,200 sqft","$2,200/mo"
45,"163-165 Cornell St UNIT 1, Boston, MA","2 bds · 1 ba · 1,400 sqft","$1,950/mo"
46,"4047 Washington St # 2, Roslindale, MA",3 bds · 1.5 ba · -- sqft,"$2,500/mo"
47,"6 Hayes Rd APT 1, Boston, MA",1 bd · 1 ba · 670 sqft,"$1,700/mo"
48,"182 Kittredge St, Boston, MA","3 bds · 1.5 ba · 4,240 sqft","$2,000/mo"
49,"Hyde Park Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$4,250/mo"
