,address,others,price
0,"32 L St # 3, Boston, MA",1 bd · 1 ba · 400 sqft,"$2,150/mo"
1,"204 H St # 2R, South Boston, MA",3 bds · 1 ba · 700 sqft,"$3,000/mo"
2,"1 bed, 1.0 bath, $2,000, 3",1 bd · 1 ba · 611 sqft,"$2,000/mo"
3,"(undisclosed Address), Boston, MA","2 bds · 1 ba · 1,100 sqft","$3,000/mo"
4,"137 Dorchester St APT 3A, South Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
5,"509 E Broadway # ONE, Boston, MA","2 bds · 1 ba · 1,200 sqft","$3,400/mo"
6,"552 E 5th St # 2, Boston, MA","1 bd · 2 ba · 1,000 sqft","$2,500/mo"
7,"105 Bolton St # A, Boston, MA","2 bds · 1.5 ba · 1,000 sqft","$3,300/mo"
8,"4 City Point Ct, Boston, MA","3 bds · 1 ba · 1,300 sqft","$4,200/mo"
9,"359 W 4th St # 3, Boston, MA",2 bds · 1 ba · -- sqft,"$2,600/mo"
10,"(undisclosed Address), Boston, MA","3 bds · 3 ba · 1,300 sqft","$2,350/mo"
11,"Dorchester Ave, Boston, MA","2 bds · 2 ba · 1,700 sqft","$5,150/mo"
12,"13 Linley Ter, Boston, MA","3 bds · 1 ba · 1,100 sqft","$3,300/mo"
13,"59 Preble St # H, Boston, MA",3 bds · 2 ba · -- sqft,"$3,550/mo"
14,"59 Preble St # 1, Boston, MA",3 bds · 2 ba · -- sqft,"$3,550/mo"
15,"13 Linley Ter # 13, Boston, MA","3 bds · 1 ba · 1,100 sqft","$3,300/mo"
16,"366 K St # 2, Boston, MA",1 bd · 1 ba · 700 sqft,"$2,400/mo"
17,"879 E 4th St # 879, Boston, MA","4 bds · 2.5 ba · 1,795 sqft","$5,495/mo"
18,"607 Dorchester Ave # 2, Boston, MA",3 bds · 2 ba · 900 sqft,"$3,475/mo"
19,"345 Silver St, Boston, MA",2 bds · 2 ba · -- sqft,"$3,400/mo"
20,"E 8th St, Boston, MA","3 bds · 2 ba · 9,999 sqft","$4,799/mo"
21,"Mercer St, Boston, MA","3 bds · 2 ba · 9,999 sqft","$4,299/mo"
22,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
23,"Old Harbor St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,400/mo"
24,"Old Harbor St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,400/mo"
25,"E 2nd St, South Boston, MA",2 bds · 2 ba · -- sqft,"$4,400/mo"
26,"36 Mercer St # 2, Boston, MA","3 bds · 2 ba · 1,062 sqft","$4,200/mo"
27,"M St, Boston, MA","1 bd · 1 ba · 1,127 sqft","$2,650/mo"
28,"19 Burrill Pl # 2, Boston, MA",1 bd · 1 ba · 466 sqft,"$2,300/mo"
29,"259 Silver St # 1, Boston, MA",2 bds · 2 ba · 900 sqft,"$3,000/mo"
30,"Columbia Rd, Boston, MA",2 bds · 1 ba · -- sqft,"$2,850/mo"
31,"225 Dorchester St # 26, Boston, MA","3 bds · 3 ba · 1,846 sqft","$4,700/mo"
32,"794 E 7th St APT M, Boston, MA","3 bds · 2 ba · 1,457 sqft","$4,800/mo"
33,"273 Athens St # 1, Boston, MA","2 bds · 2 ba · 1,200 sqft","$3,200/mo"
34,"400 W 1st St # 400, Boston, MA","3 bds · 2 ba · 1,581 sqft","$5,000/mo"
35,"171 W 8th St # 3, Boston, MA",1 bd · 1 ba · 600 sqft,"$2,200/mo"
36,"691 E 8th St # 2, Boston, MA",1 bd · 1 ba · 514 sqft,"$2,250/mo"
37,"550 E 3rd St # 2, Boston, MA",2 bds · 1 ba · 850 sqft,"$2,900/mo"
38,"277 Silver St # 24, Boston, MA",2 bds · 1 ba · -- sqft,"$2,800/mo"
39,"Silver St, Boston, MA","4 bds · 2 ba · 1,400 sqft","$5,495/mo"
40,"W 8th St, Boston, MA",4 bds · 2 ba · -- sqft,"$5,250/mo"
41,"E 6th St, Boston, MA",4 bds · 2 ba · -- sqft,"$5,000/mo"
42,"E 6th St, Boston, MA","4 bds · 1 ba · 1,200 sqft","$4,495/mo"
43,"Bay State Pl, Boston, MA",1 bd · 1 ba · -- sqft,"$1,800/mo"
44,"Ward, Boston, MA",2 bds · 2 ba · -- sqft,"$2,650/mo"
45,"Ward, Boston, MA",2 bds · 1 ba · -- sqft,"$2,200/mo"
46,"54 Woodward St APT 2, Boston, MA",2 bds · 1 ba · 900 sqft,"$3,000/mo"
47,"8 Vinton St # 2P, Boston, MA",2 bds · 1 ba · 730 sqft,"$2,500/mo"
48,"32 P St # H, Boston, MA","4 bds · 2 ba · 1,400 sqft","$4,400/mo"
49,"262 E St # 3, Boston, MA",1 bd · 1 ba · 700 sqft,"$2,500/mo"
50,"35 Mercer St # 36, Boston, MA","3 bds · 2 ba · 1,062 sqft","$4,300/mo"
51,"32 P St # 2, Boston, MA","4 bds · 2 ba · 1,012 sqft","$4,400/mo"
52,"6 O St # 1, Boston, MA","4 bds · 2 ba · 1,400 sqft","$5,000/mo"
53,"780 E 5th St, Boston, MA",5 bds · 2 ba · -- sqft,"$6,000/mo"
54,"115 O St, Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,000/mo"
55,"Emerson St, Boston, MA",1 bd · 1 ba · 490 sqft,"$1,800/mo"
56,"633 Dorchester Ave, Boston, MA","3 bds · 2 ba · 1,260 sqft","$3,800/mo"
57,"298 K St APT 2, Boston, MA",1 bd · 1 ba · 650 sqft,"$2,000/mo"
58,"7 Tuckerman St # 3, Boston, MA","2 bds · 2 ba · 1,314 sqft","$3,450/mo"
59,"38 L St # 2A, South Boston, MA",1 bd · 1 ba · -- sqft,"$2,150/mo"
60,"Vinton St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
61,"162 L St # 1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,950/mo"
62,"39 Dorchester St APT 4, Boston, MA","2 bds · 2 ba · 1,185 sqft","$3,400/mo"
63,"1 Schrepel Pl APT 1, Boston, MA",1 bd · 1 ba · 550 sqft,"$2,200/mo"
64,"291 D St # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,900/mo"
65,"452 E 8th St # 1, Boston, MA",2 bds · 1 ba · 600 sqft,"$2,450/mo"
66,"65 Preble St # 1, Boston, MA","3 bds · 3 ba · 1,250 sqft","$3,150/mo"
67,"559 E 6th St # 1, Boston, MA","3 bds · 2.5 ba · 2,050 sqft","$4,500/mo"
68,"685 E 7th St # 1V, Boston, MA",1 bd · 1 ba · 600 sqft,"$1,750/mo"
69,"314 E St # 2, Boston, MA","2 bds · 1.5 ba · 1,200 sqft","$3,000/mo"
70,"Grimes St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,400/mo"
71,"53 Thomas Park APT 8, Boston, MA","2 bds · 2 ba · 1,100 sqft","$4,000/mo"
72,"(undisclosed Address), Boston, MA","3 bds · 1.5 ba · 1,200 sqft","$4,300/mo"
73,"(undisclosed Address), Boston, MA",2 bds · 1 ba · -- sqft,"$2,000/mo"
74,"32 L St # 1, Boston, MA",1 bd · 1 ba · 700 sqft,"$2,100/mo"
75,"Gates St, Boston, MA",1 bd · 2 ba · 900 sqft,"$2,400/mo"
76,"W Broadway, Boston, MA",1 bd · 1 ba · 637 sqft,"$2,795/mo"
77,"8 Vinton St # 2, Boston, MA",2 bds · 1 ba · 730 sqft,"$2,500/mo"
78,"E 8th St, Boston, MA","3 bds · 2 ba · 1,400 sqft","$4,800/mo"
79,"154 Gold St, Boston, MA","2 bds · 2 ba · 1,000 sqft","$3,200/mo"
80,"M St, Boston, MA","2 bds · 1.5 ba · 1,127 sqft","$2,650/mo"
