,address,others,price
0,"28 Raven St # 3, Dorchester, MA",3 bds · 1 ba · -- sqft,"$2,200/mo"
1,"20 Raven St # 3, Boston, MA",2 bds · 1 ba · 931 sqft,"$2,800/mo"
2,"Taft St, Boston, MA","3 bds · 1 ba · 1,400 sqft","$2,200/mo"
3,"41 Sumner St # 3, Boston, MA","2 bds · 1 ba · 1,161 sqft","$2,700/mo"
4,"18 Chase St # 3, Boston, MA","4 bds · 2 ba · 1,000 sqft","$3,300/mo"
5,"(undisclosed Address), Dorchester, MA",4 bds · 1 ba · -- sqft,"$2,500/mo"
6,"153 Boston St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$3,050/mo"
7,"122 Boston St # 1, Boston, MA",2 bds · 1 ba · 925 sqft,"$2,200/mo"
8,"139 E Cottage St # 1, Boston, MA","4 bds · 1 ba · 1,300 sqft","$3,000/mo"
9,"Pleasant St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
10,"Hallam St, Boston, MA",3 bds · 1 ba · -- sqft,"$2,700/mo"
11,"1089 Dorchester Ave # 3, Dorchester, MA","4 bds · 1.5 ba · 1,400 sqft","$3,350/mo"
12,"1083 Dorchester Ave # 3, Dorchester, MA","4 bds · 1.5 ba · 1,400 sqft","$3,350/mo"
13,"9 Alvan Ter UNIT 2, Dorchester, MA","3 bds · 1 ba · 1,100 sqft","$2,525/mo"
14,"51 Stanley St APT 3R, Boston, MA",2 bds · 1 ba · 792 sqft,"$2,400/mo"
15,"18 Whitby Ter # 2E, Boston, MA",2 bds · 1 ba · 932 sqft,"$2,100/mo"
16,"26 Sydney St # 3T, Boston, MA",3 bds · 1 ba · -- sqft,"$2,750/mo"
17,"26 Roseclair St # 2, Boston, MA","3 bds · 1.5 ba · 1,300 sqft","$3,200/mo"
18,"54 Saxton St # 1P, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,850/mo"
19,"345 Savin Hill Ave # 2, Dorchester, MA","4 bds · 1 ba · 1,400 sqft","$3,400/mo"
20,"54 Saxton St # 1, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,850/mo"
21,"Pleasant St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
22,"4 Roseclair St # 1, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,600/mo"
23,"60 Clarkson St # 2, Boston, MA","4 bds · 1 ba · 1,300 sqft","$2,500/mo"
24,"E Cottage St, Boston, MA","4 bds · 2 ba · 3,951 sqft","$2,850/mo"
25,"E Cottage St, Boston, MA",4 bds · 2.5 ba · -- sqft,"$4,000/mo"
26,"34 Howell St # G, Dorchester, MA",3 bds · 1 ba · -- sqft,"$3,000/mo"
27,"237 Boston St # 2, Boston, MA",2 bds · 1 ba · 820 sqft,"$2,000/mo"
28,"110 Pleasant St # 2C, Boston, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
29,"Buttonwood St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
30,"10 Taft St # 2, Dorchester, MA","4 bds · 1 ba · 1,300 sqft","$3,200/mo"
31,"19 Peverell St # 3, Dorchester, MA","4 bds · 1 ba · 1,100 sqft","$3,000/mo"
32,"38 Pleasant St APT 6, Boston, MA",2 bds · 1 ba · 993 sqft,"$2,350/mo"
33,"196 E Cottage St # 1, Boston, MA","4 bds · 2.5 ba · 1,200 sqft","$4,100/mo"
34,"314 Savin Hill Ave # 1, Boston, MA","2 bds · 1 ba · 1,000 sqft","$2,100/mo"
35,"Sumner St, Boston, MA","4 bds · 2.5 ba · 1,200 sqft","$4,100/mo"
36,"(undisclosed Address), Dorchester, MA",1 bd · 1 ba · -- sqft,"$1,700/mo"
37,"60 Belfort St, Boston, MA",4 bds · 2 ba · -- sqft,"$3,500/mo"
38,"Columbia Rd, Boston, MA","5 bds · 2 ba · 1,750 sqft","$3,500/mo"
39,"658 Columbia Rd # 1, Boston, MA",1 bd · 1 ba · 750 sqft,"$1,400/mo"
40,"200 Hancock St APT 12, Dorchester, MA",2 bds · 1 ba · -- sqft,"$1,750/mo"
41,"(undisclosed Address), Boston, MA","3 bds · 2 ba · 1,200 sqft","$2,695/mo"
42,"240 Sydney St, Dorchester, MA",2 bds · 2 ba · 940 sqft,"$3,524/mo"
43,"11 Romsey St, Boston, MA","3 bds · 1 ba · 3,234 sqft","$2,650/mo"
44,"11 Ceylon St, Boston, MA","3 bds · 2 ba · 2,162 sqft","$2,500/mo"
45,"197 E Cottage St # A, Dorchester, MA","4 bds · 2.5 ba · 1,200 sqft","$4,100/mo"
46,"Dorchester Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,700/mo"
47,"Columbia Rd, Dorchester, MA",1 bd · 1 ba · -- sqft,"$1,700/mo"
48,"20 Howell St # 3S, Boston, MA",3 bds · 1 ba · -- sqft,"$2,500/mo"
49,"24 Washburn St # 3V, Boston, MA","3 bds · 2 ba · 1,000 sqft","$3,000/mo"
50,"40 Auckland St # 2, Boston, MA","3 bds · 1 ba · 1,296 sqft","$2,250/mo"
51,"757 Dorchester Ave # G, Boston, MA",Studio · 1 ba · 925 sqft,"$1,700/mo"
52,"757 Dorchester Ave # A, Boston, MA",Studio · 1 ba · 925 sqft,"$1,700/mo"
53,"78 Romsey St APT 3, Dorchester, MA","3 bds · 1.5 ba · 1,200 sqft","$2,700/mo"
54,"105 Pleasant St # U3A, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
55,"43 Cameron St # 2, Dorchester, MA","3 bds · 1 ba · 1,100 sqft","$2,400/mo"
56,"Morrissey Blvd, Boston, MA",1 bd · 1 ba · 691 sqft,"$2,739/mo"
57,"17 Hallam St, Boston, MA",3 bds · 1 ba · 900 sqft,"$2,700/mo"
58,"40 Harvest St # A, Boston, MA",6 bds · 2 ba · -- sqft,"$4,800/mo"
59,"Saint Margaret St, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,700/mo"
60,"944 Dorchester Ave APT 1, Boston, MA",1 bd · 1 ba · 997 sqft,"$2,550/mo"
61,"Savin Hill Ave, Boston, MA","3 bds · 1 ba · 1,192 sqft","$3,300/mo"
62,"Columbia Rd, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,300/mo"
63,"127 Sydney St # 3, Boston, MA","2 bds · 1 ba · 1,200 sqft","$2,500/mo"
