,address,others,price
0,"724 Morton St # 1, Boston, MA","3 bds · 1 ba · 1,400 sqft","$2,200/mo"
1,"82 Astoria St # 2, Boston, MA","3 bds · 1 ba · 1,300 sqft","$2,500/mo"
2,"20 Wellington Hill St # 2, Mattapan, MA",4 bds · 1 ba · -- sqft,"$2,100/mo"
3,"7 Wilmore St # 3, Boston, MA","3 bds · 1 ba · 1,400 sqft","$2,300/mo"
4,"15 Halborn St # 1517, Boston, MA","3 bds · 1 ba · 1,000 sqft","$2,400/mo"
5,"26 Wilmore St # 2, Mattapan, MA","4 bds · 1 ba · 99,999 sqft","$2,600/mo"
6,"21 Evelyn St # 2, Boston, MA","4 bds · 1 ba · 1,000 sqft","$2,350/mo"
7,"78 Mattapan St # 1, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,200/mo"
8,"Idaho St, Boston, MA","3 bds · 1 ba · 3,065 sqft","$2,300/mo"
9,"41 Woolson St # 2, Boston, MA","4 bds · 1 ba · 1,430 sqft","$2,700/mo"
10,"55 Ridlon Rd # 2, Boston, MA",Studio · 3 ba · 480 sqft,$800/mo
