,address,others,price
0,"50 Austin St, Boston, MA",5 bds · 2 ba · -- sqft,"$2,800/mo"
1,"763 Truman Hwy APT 3, Boston, MA","1 bd · 1 ba · 9,999 sqft","$1,495/mo"
2,"1512 Hyde Park Ave, Hyde Park, MA",1 bd · 1 ba · 600 sqft,"$1,300/mo"
3,"148 Dana Ave # 2, Boston, MA","2 bds · 1 ba · 1,100 sqft","$1,925/mo"
4,"175 Clare Ave, Boston, MA",2 bds · 1 ba · 680 sqft,"$1,850/mo"
5,"Reservation Rd, Hyde Park, MA","3 bds · 1 ba · 1,200 sqft","$2,200/mo"
6,"23 Beacon St # 5T, Boston, MA",1 bd · 1 ba · -- sqft,"$3,100/mo"
7,"126 Washington St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,950/mo"
8,"Business Ter, Boston, MA","3 bds · 2.5 ba · 1,500 sqft","$2,450/mo"
9,"76 Chittick Rd # 2, Hyde Park, MA",4 bds · 2 ba · -- sqft,"$2,850/mo"
10,"38 Davison St # 2, Boston, MA",2 bds · 1 ba · -- sqft,"$1,850/mo"
11,"7 Knight St APT 1, Boston, MA","3 bds · 1 ba · 1,700 sqft","$2,400/mo"
12,"650 Metropolitan Ave APT 6, Boston, MA",2 bds · 1 ba · 850 sqft,"$1,800/mo"
13,"River St, Boston, MA",2 bds · 1 ba · 780 sqft,"$1,800/mo"
14,"50 Thompson St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
15,"196 Fairmount Ave APT 9, Hyde Park, MA",1 bd · 1 ba · -- sqft,"$1,525/mo"
16,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 650 sqft,"$1,575/mo"
17,"23 Beacon St, Boston, MA",1 bd · 1 ba · 508 sqft,"$3,000/mo"
18,"Davison St, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,850/mo"
19,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 850 sqft,"$1,695/mo"
20,"22 Highland St # P1, Boston, MA",3 bds · 1 ba · -- sqft,"$2,400/mo"
21,"61 Gordon Ave # 10A, Hyde Park, MA",1 bd · 1 ba · -- sqft,"$1,795/mo"
22,"920 Hyde Park Ave # 1, Boston, MA","3 bds · 1 ba · 99,999 sqft","$2,000/mo"
23,"17 Webster St # 17-02K, Boston, MA",4 bds · 1 ba · -- sqft,"$3,400/mo"
24,"15 Winslow St # K, Boston, MA",3 bds · 2 ba · -- sqft,"$4,200/mo"
25,"48 Ralston Rd # 2, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,200/mo"
26,"13 Maple Leaf Dr # 0, Boston, MA","6 bds · 2.5 ba · 3,114 sqft","$3,950/mo"
27,"Fairmount Ave, Boston, MA",1 bd · 1 ba · 575 sqft,"$1,525/mo"
28,"196 Fairmount Ave APT 4, Boston, MA",Studio · 1 ba · -- sqft,"$1,550/mo"
29,"23 Business Ter, Hyde Park, MA","3 bds · 2.5 ba · 1,450 sqft","$2,450/mo"
30,"309 Huntington Ave, Boston, MA",1 bd · 1 ba · 450 sqft,"$2,300/mo"
31,"Davison St, Boston, MA",2 bds · 1 ba · -- sqft,"$1,725/mo"
32,"58 Lexington Ave # 1NF, Boston, MA",2 bds · 1 ba · -- sqft,"$1,900/mo"
33,"Easton Ave, Boston, MA",4 bds · 1 ba · -- sqft,"$2,500/mo"
34,"60 Warren Ave # 3, Hyde Park, MA",3 bds · 1.5 ba · -- sqft,"$2,600/mo"
35,"57 Sunnyside St # 3, Boston, MA","3 bds · 1 ba · 1,220 sqft","$2,400/mo"
36,"922 Hyde Park Ave # 1, Boston, MA","3 bds · 1 ba · 1,200 sqft","$2,100/mo"
37,"17 Bow St # 15, Boston, MA",1 bd · 1 ba · -- sqft,"$2,600/mo"
38,"151 Washington St # 3, Boston, MA",4 bds · 1 ba · -- sqft,"$2,500/mo"
39,"Lincoln St, Boston, MA",2 bds · 1 ba · 875 sqft,"$1,695/mo"
40,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 625 sqft,"$1,550/mo"
41,"797 River St, Boston, MA",2 bds · 2 ba · -- sqft,"$2,200/mo"
42,"6 Summer St # 1, Boston, MA","2 bds · 1 ba · 9,999 sqft","$2,000/mo"
43,"323 West St # 2, Boston, MA","2 bds · 1 ba · 1,000 sqft","$1,800/mo"
44,"20 Winthrop St # 1, Boston, MA",4 bds · 2 ba · -- sqft,"$3,200/mo"
45,"74 Harvard Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$1,550/mo"
46,"15 Dana Ave # 3, Boston, MA","2 bds · 2 ba · 1,050 sqft","$2,000/mo"
47,"68 Gordon Ave # 402XX, Boston, MA",2 bds · 1 ba · -- sqft,"$2,500/mo"
